user,tweet,location,date,sentiment
Amelia Grant,"RT @kimmiintx: As I have been saying, Biden is a dottering fool, but Sanders is flat out dangerous. As is Warren. They want to destroy our…",None,2020-01-14 16:14:16,negative
Patricia Shockey,"RT @charliekirk11: In 2016, when 6 Republicans were left 50% were minorities:

Trump
Cruz
Rubio
Carson
Kasich
&amp; Jeb!

Today, 6 Democrats ar…","West Virginia,USA",2020-01-14 16:14:16,neutral
Tiff B.,RT @KamVTV: Wow. Kevin McCarthy just said at press conference Nancy Pelosi has been holding articles of impeachment to screw over Bernie Sa…,"Oklahoma, USA",2020-01-14 16:14:16,positive
Roberta 🚩🚩🚩,"RT @lucasrohan: 🔴🇺🇸 EUA ELEIÇÕES

Depois de aparecer na frente em Iowa, @BernieSanders lidera primárias democratas também na Califórnia.

P…",None,2020-01-14 16:14:16,neutral
ConservativeBoomer,"RT @RandyRRQuaid: My Senate trial witness list:
Hunter Biden
Joe Biden
Adam Schiff
Whistleblowers 1 &amp; 2
Whistleblower lawyer Zaid
Hillary C…",DJTrumps America! #MAGA,2020-01-14 16:14:18,neutral
BigClub& UAin't InIt,"Those old people on landlines and who previously voted Democrat still sticking with Biden --- omg are they ""English… https://t.co/DBSFVJXW9f",Self-Exiled 2 Isle of Man,2020-01-14 16:14:18,negative
NoWarWithIran🌹,"RT @WalkerBragman: At this point, I would not be surprised if Warren faces a primary challenge from her left--especially if Joe Biden wins…",None,2020-01-14 16:14:18,positive
Terri Flinn,"RT @AGHamilton29: This is one thing that hasn’t been talked about enough. Warren, Sanders, and Pete B. have all struggled with AA voters. C…","Vienna, WV",2020-01-14 16:14:18,neutral
Amy #1A & #2A Shall not be INFRINGED!,"RT @RandyRRQuaid: My Senate trial witness list:
Hunter Biden
Joe Biden
Adam Schiff
Whistleblowers 1 &amp; 2
Whistleblower lawyer Zaid
Hillary C…",United States,2020-01-14 16:14:19,neutral
Patricia Zengerle,A Biden endorsement from New Jersey Rep. Tom @Malinowski https://t.co/198s4B573d,Mostly Washington,2020-01-14 16:14:20,positive
Bob Foss,RT @Amy_Siskind: LOL.  I am calling on @GOPLeader to suspend his enabling of a puppet regime installed by Putin.,"Florida, USA",2020-01-14 16:14:20,positive
Possibly Anarchyball,"RT @SharikaSoal84: Thread of Joe Biden touching kids on camera. RT to make a mommy aware! 

1.Touching a little girls chest area who tried…",None,2020-01-14 16:14:21,positive
viejachismosa 🇵🇷,"RT @briebriejoy: Well, will you look at that!

The most diverse, working class coalition in this race is getting even more diverse. 

This…",None,2020-01-14 16:14:21,positive
Pamela ( I don't do dms anymore),RT @AdamParkhomenko: I can tell you with 100 percent certainty that there is not one single thing on the Burisma server that would make Joe…,"Eureka Springs, AR",2020-01-14 16:14:21,negative
DoubleDDeacon,"Bloomberg
Biden
Warren
Sanders
Buttigieg

Put all their rallies together and they still don't come anywhere near to… https://t.co/aClHWw8kKd",Midwest,2020-01-14 16:14:22,positive
Lola Beavers,"RT @JoyceWhiteVance: I don’t have a candidate in this race, but Biden’s new ad is       🔥🔥🔥 https://t.co/Z8x7plQPjc",None,2020-01-14 16:14:23,positive
ElCoqui121 🌹,RT @briebriejoy: Tomorrow we have an AMAZING ep of #HearTheBern featuring @krystalball and @joshfoxfilm who break down Biden's record from…,None,2020-01-14 16:14:23,positive
Ms Smith,RT @TomFitton: State Dept slow walking Biden Ukraine corruption docs.  @RealDonaldTrump @JudicialWatch https://t.co/qI4nZ9ir1V,None,2020-01-14 16:14:23,negative
Loving Canada 🇨🇦🇨🇦🇨🇦,Hey Democrats! Get your shit together and stop ripping each other. Common goal is beat the Orange Motherfucker so D… https://t.co/VGVBK6mcCg,None,2020-01-14 16:14:24,negative
(((Joe Crowley))),RT @Stonekettle: Labradoodle still mad he's not president.,None,2020-01-14 16:14:25,negative
Jahan,RT @JasonMillerinDC: Exactly. Thank you for standing strong @SenatorBraun! https://t.co/jIuRBIbeqA,"Washington, D.C.",2020-01-14 16:14:25,positive
ENDURE 1776 🇺🇸,"RT @RoscoeBDavis1: Here it comes, the cover story seeds are being planted. The Mockingbird media are sewing seeds for the cover story on Bu…","Las Vegas, NV",2020-01-14 16:14:25,neutral
Adam Cohen Lawyers for Good Government #DemCast,"RT @tizzywoman: #TuesdayTruth 

Biden mayor may not be your favorite Dem in the race, but, I can tell you this. Biden's and tRump's  farewe…",None,2020-01-14 16:14:26,positive
🌷🇺🇸Ann🇺🇸🌷🐇,RT @JanetTxBlessed: As a fight breaks out between Warren and Sanders..will Biden break through as a clear winner in tonight’s Democratic de…,United States of America,2020-01-14 16:14:27,positive
Czernobro,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",None,2020-01-14 16:14:27,neutral
donna k.,"RT @katrina_wiser: Here we go again

NYT sets up BS cover story and plants seeds to discredit @RudyGiuliani evidence against Biden

So pred…",PRESIDENT TRUMPS AMERICA (NYS),2020-01-14 16:14:27,neutral
Deplorable Ridgerunner,RT @TheCollectiveQ: Joe Biden has been in office for 44 years. Chuck Schumer has been in office for 38 years. Nancy Pelosi has been in offi…,PATRIOTIC AMERICA UNDER GOD,2020-01-14 16:14:27,neutral
Tiff B.,"RT @charliekirk11: Did you know:

Joe Biden’s niece avoids going to prison for running a $100,000 credit card scam

Democrats privilege, it…","Oklahoma, USA",2020-01-14 16:14:27,neutral
C Townz,"@BernieSanders This is such a good video!  Honest, straight forward and right to the point.  No low blows.  Just th… https://t.co/5D1HOJpq31",None,2020-01-14 16:14:28,positive
MiamiNice57💎,RT @Amy_Siskind: LOL.  I am calling on @GOPLeader to suspend his enabling of a puppet regime installed by Putin.,"Florida, USA",2020-01-14 16:14:28,positive
1Davie1,"RT @DudleyDidrightV: Joe Biden's campaign in a nutshell:

I never said what you have me on tape saying

I never did what the overwhelming e…",None,2020-01-14 16:14:28,positive
charles hunter,RT @chuckghunter: AMERICA WILL NEVER BE BIDEN OR SANDERS COUNTRY! ALL LIBERALS TAKE NOTICE!,"Walkersville, MD",2020-01-14 16:14:29,neutral
"Wake Up, America!","RT @RandPaul: My colleagues can’t have it both ways. Calling for some, while blocking others. If we are going to give a platform to witness…","Grand Rapids, Michigan",2020-01-14 16:14:29,neutral
Luvmycountry,RT @TomFitton: State Dept slow walking Biden Ukraine corruption docs.  @RealDonaldTrump @JudicialWatch https://t.co/qI4nZ9ir1V,None,2020-01-14 16:14:29,negative
Anne Ross,"RT @counterchekist: It’s clear that tRUmp fears running against Biden in 2020. 

RIS ops in Ukraine highlight both tRUmp and the Kremlin’s…",None,2020-01-14 16:14:30,positive
Alan W. Silberberg,RT @JoyceWhiteVance: The reaction to this seems to be almost universally like mine. No one is surprised. Instead of the shock &amp; outrage eve…,LA DC LON NY TOK GEN ZUR,2020-01-14 16:14:31,positive
Courtney 🖤🦅,RT @eclecticbrotha: Conservatives do seem very concerned about saving Bernie Sanders' candidacy.,None,2020-01-14 16:14:31,positive
Mr Orwell Says-Fight To Unite All Workers in 2020,RT @amlerope: Bernie Sanders is more electable than Joe Biden.  Pass it on.,None,2020-01-14 16:14:31,positive
Sandra Smith,"RT @RandPaul: My colleagues can’t have it both ways. Calling for some, while blocking others. If we are going to give a platform to witness…","Virginia, USA",2020-01-14 16:14:32,neutral
Gregory Ealey,RT @PWM62: @SallyAlbright Interesting how Hunter is corrupt but no EVIDENCE can be found to take before a judge. Double Hearsay is all the…,World citizen,2020-01-14 16:14:32,neutral
NancyWilliamsPainter,"RT @hammodimissouri: Joe Biden could likely be the Democratic nominee.

His past record and current proposals represent everything Warren s…",Bremerton WA,2020-01-14 16:14:32,negative
yfahim 🆘,"RT @JoyceWhiteVance: I don’t have a candidate in this race, but Biden’s new ad is       🔥🔥🔥 https://t.co/Z8x7plQPjc","California, USA",2020-01-14 16:14:33,positive
THIS. MUST. CHANGE. 🌹,RT @davidsirota: #ITrustBernie because he hasn’t tried to cut Social Security — Bernie has not only fought to stop @JoeBiden’s plans to cut…,None,2020-01-14 16:14:34,positive
Willie Mack,"RT @charliekirk11: In 2016, when 6 Republicans were left 50% were minorities:

Trump
Cruz
Rubio
Carson
Kasich
&amp; Jeb!

Today, 6 Democrats ar…",United States,2020-01-14 16:14:34,neutral
Patrick Sweeney,"Bloomberg Super Tuesday $$$ got him in 4th place at 8% and 5th nationally.

That’s what 200m will get you.",Rhode Island,2020-01-14 16:14:35,positive
Rachel Lucca #Bernie2020 #MedicareForAll ⚕️,RT @FlyThaiMMA: Why is Tulsi Gabbard the only Democratic candidate who pushed back against Elizabeth Warren's disgusting smear job against…,USA,2020-01-14 16:14:35,negative
Every nimble plane is a policy failure.,"Bernie up +12 from previous, w/ Biden and Warren falling",None,2020-01-14 16:14:35,negative
🔥#UnionStrong 🔥#Bernie2020🔥#BernieYellsForUs🔥,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",The 813 to 407,2020-01-14 16:14:36,neutral
Just Jo 🆘️🌊🌊🇺🇸,"RT @gtconway3d: Yep.  It’s going to be gosh, it won’t be a fair trial if Trump can’t call Hunter Biden and his pet wallaby as witnesses, so…","Illinois, USA",2020-01-14 16:14:37,positive
Anna Hoang,"RT @charliekirk11: Did you know:

Joe Biden’s niece avoids going to prison for running a $100,000 credit card scam

Democrats privilege, it…",None,2020-01-14 16:14:37,neutral
AngryMongo M🍑45 🎮🎨🎭🇺🇸,"@GeoffRBennett @GOPLeader Biden is not Senator.
 And Trump isn't going testify at the impeachment.

No reason to suspend anything.",None,2020-01-14 16:14:38,neutral
Gregory Ealey,RT @SallyAlbright: WhaAdABoUtHUnTerBidENhUh?,World citizen,2020-01-14 16:14:38,neutral
saneblane,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…","Houston, TX",2020-01-14 16:14:39,neutral
Save the babies,RT @JKCody50: Add one more .. John Kerry,None,2020-01-14 16:14:39,positive
deplorable Jerry,RT @LindaBr66944651: @charliekirk11 The criminal mind is strong with the Biden family!,None,2020-01-14 16:14:40,positive
Mama8#NoWarWithIran,"RT @briebriejoy: Well, will you look at that!

The most diverse, working class coalition in this race is getting even more diverse. 

This…",None,2020-01-14 16:14:40,positive
Sheila C.,"RT @nwgoboating: Add the 'whistleblower' and Schiff to that list!

Rand Paul to force Senate vote on Hunter Biden testimony if GOP colleagu…","Alabama, USA",2020-01-14 16:14:40,neutral
Amanda ✌🏼,"RT @gaywonk: Billionaires want Bernie vs Warren.
Big Pharma wants Bernie vs Warren.
Biden wants Bernie vs Warren.
Trump wants Bernie vs War…","Massachusetts, USA",2020-01-14 16:14:40,positive
viejachismosa 🇵🇷,RT @ZephyrTeachout: Sanders most trusted on economy. Ill take that to a general election!!!,None,2020-01-14 16:14:40,positive
MRW,"Trump really believes he can tweet a few times at the Iranian people, and they'll do what he wants.",everywhere,2020-01-14 16:14:41,positive
Beto,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",Location may vary,2020-01-14 16:14:41,neutral
Daniel,"RT @Bamafanaticfan1: Burisma Holdings 'successfully' hacked by Russian military amid House-led impeachment hearings: US tech company

https…",United States,2020-01-14 16:14:41,positive
Leigh Nofp,RT @JoeBiden: Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy…,None,2020-01-14 16:14:42,neutral
Alix,"RT @CharlotteAlter: Last time it was Warren v Pete
Before that it was Kamala/Klobuchar v Pete 
Before that it was Kamala v Biden

When male…",None,2020-01-14 16:14:42,neutral
jetsetter24seven✝️,RT @Larrypolya22: Why would Dems or the media be concerned about the Russian's hacking Burisma if Biden did nothing wrong? Because the medi…,America ,2020-01-14 16:14:42,negative
TKC | FuLLBLeeD @ Frosty Faustings,"RT @LivPosting: Bernie is surging in the polls, if you think the Warren story was bad the bernie slander is going to get worse","Kansas City, Missouri",2020-01-14 16:14:42,negative
Jessica Renae,"RT @JohnWDean: Trump no longer needs to ask if Russia is listening, they are. They are going to help him win in 2020, and he wants to win a…",San Antonio,2020-01-14 16:14:42,positive
StarRavyn🌟🌟🌟🇺🇸Cult45,"RT @twin0830us: Rand Paul's warning shot to GOP Senators: If you side with Dems on witnesses, I'm forcing vote on Hunter Biden https://t.co…",United States,2020-01-14 16:14:44,neutral
Sue Buttler,RT @joelockhart: If Hunter Biden is called to testify so should Ivanka and Jared and Don Jr. and Eric.  If this part of the trial is about…,"Henderson, NV",2020-01-14 16:14:45,neutral
Asante,RT @JoeBiden: Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy…,"Missouri, USA",2020-01-14 16:14:45,neutral
Jerry #ImpeachTrumpNow,RT @ScottMStedman: BREAKING: Russia hacked Burisma as Trump was attacking Biden and the company https://t.co/HWUOShQd5Y,None,2020-01-14 16:14:45,neutral
Milton,RT @_michaelbrooks: Absolutely. I’ve never understood why people were so confident about her backing Sanders after she drops out,Reading,2020-01-14 16:14:46,positive
FL for Bernie 🌹15% 'Blue No Matter Who',"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",None,2020-01-14 16:14:46,neutral
Soteria,RT @PolandUSA: Trump should release some Biden China Ukraine transcripts and reveal that Cruz and Rand were spied on along with almost ever…,Long Island ,2020-01-14 16:14:46,neutral
Apparent Steve,😂🤣🤣😂,"Muskogee, Ok",2020-01-14 16:14:46,neutral
yes2Trump ⭐️⭐️⭐️,"RT @revellichor: I’ve never particularly liked or disliked @pdoocy, but watching him go into the lions den, towering over everyone and inti…",None,2020-01-14 16:14:46,negative
Dave Haase,"RT @katrina_wiser: Here we go again

NYT sets up BS cover story and plants seeds to discredit @RudyGiuliani evidence against Biden

So pred…",None,2020-01-14 16:14:47,neutral
Nicolas Clamorgan ❌ 🇺🇸,"RT @katrina_wiser: Here we go again

NYT sets up BS cover story and plants seeds to discredit @RudyGiuliani evidence against Biden

So pred…",Zurich,2020-01-14 16:14:48,neutral
"Aye tone, this account ain't funny.",Energy?  You're both in your 70's.  How much energy you got left?  Every time I see you both you're hunched over ga… https://t.co/1FwCaLdSAQ,United States,2020-01-14 16:14:48,positive
Charla Wash,"RT @RandPaul: My colleagues can’t have it both ways. Calling for some, while blocking others. If we are going to give a platform to witness…",None,2020-01-14 16:14:49,neutral
JAMES #GiveTrumpToIRAN #Pelosi46,"RT @BidenForce: #BREAKING ENDORSEMENT ALERT-NEW HAMPSHIRE

13 #NewHampshire state reps endorse @JoeBiden for President including 2 former @…",Can't b a remedy 2ur stupidity,2020-01-14 16:14:49,neutral
kamran rizvi #TheSquad,RT @mtaibbi: Further underscoring the absurdity of Biden (and Kerry) saying the AUMF vote was not a vote for war: Biden told Bush he'd supp…,"Vermont, Burlington",2020-01-14 16:14:49,neutral
Diane Schultz  🎵🎶 ☕🐱🐈⚾🕯️🥓🍫,RT @JoyceWhiteVance: The reaction to this seems to be almost universally like mine. No one is surprised. Instead of the shock &amp; outrage eve…,"Austin, TX",2020-01-14 16:14:50,positive
(Best Picture 2020 Winner) CATS Stan Account,@everyvote_prize Yeah but it’s all unreliable personal punditry that tell us Biden is weaker than his numbers. By t… https://t.co/QVPWT3htbr,None,2020-01-14 16:14:50,neutral
Dawn (Switch) 🥁,@Politics_Polls @ppppolls Biden wins in the states that matter. Period. #Biden2020 https://t.co/wgZZ5rfJhe,"Watsonville, CA",2020-01-14 16:14:50,positive
🇺🇸2nd Cup of COVFEFE?☕🌟🌟🌟🇺🇸,"RT @charliekirk11: Did you know:

Joe Biden’s niece avoids going to prison for running a $100,000 credit card scam

Democrats privilege, it…",None,2020-01-14 16:14:51,neutral
FWDCROCBLU,"RT @Olivia_Gazis: ""We don't know what [the GRU is] going to do,"" Area 1 co-founder Oren Falkowitz said. ""I can just tell you from my experi…",None,2020-01-14 16:14:51,neutral
Minnesota Bob,RT @JoeFreedomLove: Burisma Hacked: Joe Biden Faces Potentially Damaging Document Dumps | News and Politics https://t.co/EI7UGj8zgL,Minnesota,2020-01-14 16:14:51,neutral
PRHD,RT @JoeBiden: Donald Trump has no strategy when it comes to Iran. No endgame. The only way out of his self-made crisis is through diplomacy…,"Petaluma, CA",2020-01-14 16:14:52,neutral
Sally resists. 🆘,"RT @JohnWDean: Trump no longer needs to ask if Russia is listening, they are. They are going to help him win in 2020, and he wants to win a…","Iowa, USA",2020-01-14 16:14:52,positive
Idyll,RT @GeoffRBennett: House Republican Leader Kevin McCarthy is calling on Joe Biden to suspend his campaign while the Democratic senators run…,New Yorker in Canada,2020-01-14 16:14:52,neutral
Nyah,"RT @PpollingNumbers: North Carolina @ppppolls:

Biden 31%
Sanders 18%
Warren 15%
Bloomberg 8%
Buttigieg 6%
Yang 5%
Klobuchar/Steyer 3%
The…",wherever He leads me,2020-01-14 16:14:53,neutral
Earth Advocacy News 🌍🌏🌎,RT @RalphNader: It doesn't help the progressive cause for Bernie Sanders and Elizabeth Warren to be squabbling. The Democratic Party corpor…,None,2020-01-14 16:14:53,neutral
Cathy ski,"RT @RandPaul: My colleagues can’t have it both ways. Calling for some, while blocking others. If we are going to give a platform to witness…",United States,2020-01-14 16:14:53,neutral
Kaliii 🔥,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",None,2020-01-14 16:14:53,neutral
Espo,"RT @CDonatac: Nuclear Option loaded:

Joe Biden open to CA Sen. Kamala Harris as 2020 running mate ~ says he’d consider Kamala Harris for “…","Pennsylvania, USA",2020-01-14 16:14:53,neutral
⚕️FranSylviasDaughter#NoWarWithIran,"RT @jacobinmag: Joe Biden in 1995: ""When I argued that we should freeze federal spending, I meant Social Security as well. I meant Medicare…","Florida, USA",2020-01-14 16:14:53,positive
Bill Neidhardt,Starring the one and only @davidsirota,"Iowa, USA",2020-01-14 16:14:54,neutral
🇮🇱 🇺🇸 ✝ RICK MAGA ✝ 🇺🇸 🇮🇱,"RT @katrina_wiser: Here we go again

NYT sets up BS cover story and plants seeds to discredit @RudyGiuliani evidence against Biden

So pred…",United States,2020-01-14 16:14:54,neutral
Dawn (Switch) 🥁,"RT @Politics_Polls: North Carolina @ppppolls (1/10-12):
Biden 31%
Sanders 18%
Warren 15%
Bloomberg 8%
Buttigieg 6%
Yang 5%
Klobuchar 3%
Ste…","Watsonville, CA",2020-01-14 16:14:55,neutral
vulcanada dry,Hahaha omg this is a truly stupid take,Mpls/StP,2020-01-14 16:14:55,negative
Penny Parkin,"RT @MarshallCohen: This might be the most important news of the day. Russia could leak Burisma emails, and slip in some doctored emails, to…","Michigan, USA",2020-01-14 16:14:55,positive
🇺🇸⚓JennySueQ⚓🇺🇸,"RT @RandyRRQuaid: My Senate trial witness list:
Hunter Biden
Joe Biden
Adam Schiff
Whistleblowers 1 &amp; 2
Whistleblower lawyer Zaid
Hillary C…",The Great State Of Texas,2020-01-14 16:14:55,neutral
KloboCop 🌹🐬 اشتهارد,https://t.co/2FT4R3jPZj,None,2020-01-14 16:14:55,neutral
Anna Hoang,RT @KamVTV: Wow. Kevin McCarthy just said at press conference Nancy Pelosi has been holding articles of impeachment to screw over Bernie Sa…,None,2020-01-14 16:14:55,positive
MAGA🇺🇸Mitch🇺🇸1024/1024 IFBP,"RT @charliekirk11: Did you know:

Joe Biden’s niece avoids going to prison for running a $100,000 credit card scam

Democrats privilege, it…",None,2020-01-14 16:14:56,neutral
Eye in☀️the Sky🕗,"RT @Bamafanaticfan1: Burisma Holdings 'successfully' hacked by Russian military amid House-led impeachment hearings: US tech company

https…",None,2020-01-14 16:14:56,positive
Nana C Fierce Nana Warrior,RT @joelockhart: If Hunter Biden is called to testify so should Ivanka and Jared and Don Jr. and Eric.  If this part of the trial is about…,None,2020-01-14 16:14:58,neutral
Jim Phillippi,"RT @twin0830us: Rand Paul's warning shot to GOP Senators: If you side with Dems on witnesses, I'm forcing vote on Hunter Biden https://t.co…",None,2020-01-14 16:14:58,neutral
Cara Whedbee,"RT @MorningConsult: NEW 2020 national tracking:

Biden: 29% (-2)
Sanders: 23%
Warren: 14% 
Bloomberg: 8% (+1)
Buttigieg: 8%
Yang: 5% (+1)
S…",USA,2020-01-14 16:14:58,positive
YourMama,"RT @iVoteAmerica: Polls indicate the Democrat Party is fragmented.

The Des Moines Register Iowa Poll has Bernie Sanders leading.

The Jan…",'Merica,2020-01-14 16:14:58,neutral
Cartoon Nerd,RT @AsteadWesley: Remember Biden said this in public 10 days ago,Massachusetts,2020-01-14 16:14:59,neutral
Sue Buttler,RT @Amy_Siskind: LOL.  I am calling on @GOPLeader to suspend his enabling of a puppet regime installed by Putin.,"Henderson, NV",2020-01-14 16:14:59,positive
(((George McKeever))),"RT @Stonekettle: Because if they can trash Biden, if there is even the slightest evidence that he was involved in even the mildest of shady…","Kingston, Canada",2020-01-14 16:14:59,neutral
Anna Hoang,"RT @dbongino: The NY Times and Kyle, on behalf of the Biden campaign and the Democrats, are desperately searching for a new “narrative” to…",None,2020-01-14 16:14:59,negative
Middle Molly: If the Dems nominate a FRUIT FLY-,RT @kilonova_gold: @waltshaub This is why any story about Hunter Biden is a mere distraction. Open corruption at all levels of the GOP.,"Chicago, IL",2020-01-14 16:15:00,negative
Heather🇺🇸 🇮🇱 ⭐️⭐️⭐️,"RT @julie_kelly2: Just remember that your average CNN viewer, NYT reader and Dem voter will believe this. They refuse to see a spin operati…","Huntsville, AL",2020-01-14 16:15:00,negative
Federal Network,House GOP Leader: Biden should pause campaign while Senate competitors sit for #ImpeachmentTrial https://t.co/oc168JyiFX,"Washington, DC",2020-01-14 16:15:00,neutral
Joaco,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",-La Plata-,2020-01-14 16:15:00,neutral
Kdee,"RT @JoyceWhiteVance: I don’t have a candidate in this race, but Biden’s new ad is       🔥🔥🔥 https://t.co/Z8x7plQPjc","Kentucky, USA",2020-01-14 16:15:01,positive
Sheila Haines🧢🧢☂️☂️🐐🐐,"RT @kathrynacullen: How did you do?

Mine ranked:
1) Yang 
2) Gabbard/Steyer/Bloomberg 
3) Biden/Buttigieg/Warren/Klobuchar
4) Bernie https…",None,2020-01-14 16:15:01,neutral
Free bird,"RT @Stonekettle: Because if they can trash Biden, if there is even the slightest evidence that he was involved in even the mildest of shady…",None,2020-01-14 16:15:01,neutral
Kim Pflaum,"RT @Stonekettle: Because if they can trash Biden, if there is even the slightest evidence that he was involved in even the mildest of shady…",None,2020-01-14 16:15:01,neutral
DecemberDreamer,Lmaooooo 😭😭,None,2020-01-14 16:15:02,neutral
Overturn Citizens United.,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",None,2020-01-14 16:15:03,neutral
Will,"RT @slivaudais: Look, Dems. Guess who benefits from this manufactured ""feud"" between Sanders &amp; Warren? Biden. and Trump, who tweeted about…","Atlanta Metro, GA ",2020-01-14 16:15:03,neutral
JORGE NY,RT @McFaul: More evidence that Putin fears Biden and is actively trying to help Trump. Not good. All who believe in American sovereignty sh…,Cuernavaca City New York,2020-01-14 16:15:04,positive
Milton,RT @esaagar: Elizabeth Warren tells the NYT “it’s a bad idea” for kids to serve on foreign boards but refuses to actually hit Joe Biden on…,Reading,2020-01-14 16:15:04,negative
Roel Elzinga 🇺🇸☀️🇺🇸 🇳🇱 🍿🎥🍿,"@bourgeoisalien I wish you were right
But I’m pretty sure the Dems are already rigging things against him, just lik… https://t.co/4ZmD7zvRZf","Arnhem, Nederland",2020-01-14 16:15:04,positive
PorteRouge_USA ⭐️⭐️⭐️,"RT @charliekirk11: Did you know:

Joe Biden’s niece avoids going to prison for running a $100,000 credit card scam

Democrats privilege, it…",None,2020-01-14 16:15:04,neutral
Kimberly Austin,@EricBoehlert Ok maybe but is that the way to go? None of this has anything to do with Hunter Biden,NYC-ish,2020-01-14 16:15:04,positive
Jami Miller ✏️📰,I was looking forward to the debate tonight because I was hoping to see a Sanders/Warren takedown of Biden but nooo… https://t.co/LnvJmsvK7r,The Corn State,2020-01-14 16:15:04,neutral
R K DAVID,"@Dismoh @WilliamsRuto He refuse to learn from examples, Pence, Biden among others...even when it hurts, do not show… https://t.co/q1xvzYkMGI",Earth,2020-01-14 16:15:05,neutral
Rachel Lucca #Bernie2020 #MedicareForAll ⚕️,"RT @briebriejoy: Well, will you look at that!

The most diverse, working class coalition in this race is getting even more diverse. 

This…",USA,2020-01-14 16:15:05,positive
EFC,"RT @dbongino: The NY Times and Kyle, on behalf of the Biden campaign and the Democrats, are desperately searching for a new “narrative” to…",USA,2020-01-14 16:15:05,negative
emmy1690 🌹🔥,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",California,2020-01-14 16:15:07,neutral
Nationalist Andrew,"RT @0Bettymowery2: (YES!!!!!) Rand Paul's warning shot to GOP Senators: If you side with Dems on witnesses, I'm forcing vote on Hunter Bide…",None,2020-01-14 16:15:07,neutral
Linda Campbell,"RT @counterchekist: It’s clear that tRUmp fears running against Biden in 2020. 

RIS ops in Ukraine highlight both tRUmp and the Kremlin’s…",Small-town Mid Missouri,2020-01-14 16:15:08,positive
Gideon🌹,RT @OFB2020: You love to see it! #Debatenight,None,2020-01-14 16:15:08,positive
bitchkitten5🍑,"RT @JohnWDean: Trump no longer needs to ask if Russia is listening, they are. They are going to help him win in 2020, and he wants to win a…",None,2020-01-14 16:15:09,positive
⚖️🔥DNASTY4BIDENHARRIS🔥⚖️,RT @joshtpm: Strongest VP pick for Biden?,"Louisiana, United States",2020-01-14 16:15:09,neutral
Skepacabra 🌹,"RT @BernieSanders: When you look at my record vs. Joe Biden's record, I just don't think that Biden's record is going to bring forth the en…",New York,2020-01-14 16:15:09,neutral
