tweet,sentiment,polarity_score
RT  Donald Trump: Charter Communications has committed to investing $25 billion into USA.   #FridayFeeling  #MAGA ,neutral,0.0
Trump's Army secretary nominee withdraws ,neutral,0.0
RT SparkleSoup45: Put a STOP🚫to this realDonaldTrump POTUS  Illegal Aliens have NO RIGHT to vote in our elections.… ,negative,-0.3214285714285714
"Trump, Clinton aim to pad delegate lead in Western states  #politics",neutral,0.0
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 President Trump will make America great again! #AmericaFirst #MakeAmericaGreatAgain #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 ,positive,1.0
"RT  POTUS #Trump: In the Arab/Islam world, they BURN our flags together.  In #Israel, we FLY our flags together!!! #MAGA ",positive,1.0
"Christie looks beyond Trump gaze, gets back to business  #politics",neutral,0.0
Things for which we're waiting to see Trump's 'convincing evidence' ,positive,0.5
RT  #PresentsTrumpGot The ability to make hair out of straw,neutral,0.0
"RT  Gen James ""MAD DOG"" Mattis, #USMC fired by Obama for being too tough on enemies!   We're HONORED to have him!   #TrumpTransi…",negative,-0.6163194444444444
Donald Trump to host ‘Saturday Night Live’ on Nov. 7  #showbiz,positive,0.13636363636363635
RT  WATCH: #SNL goes all-in on Donald Trump's comments  #SNLinManuel ,neutral,0.0
RT  WOW! Geraldo Rivera: Donald Trump Did Not Come Close to 'Obstruction' ,positive,0.125
RT  Same RINOs that came out to hit President Trump right before election using same lie. McConnell wasted $30 million of Soros…,positive,0.021428571428571422
#dotard sounds like a good nickname for Trump.,positive,0.7
"RT  🇺🇸Donald J. Trump Rally TODAY #NorthCarolina 💥Asheville, NC 3 PM ET #VoteTrump🇺🇸 #Jobs #AmericaFirst #MAGA #Economy https:…",neutral,0.0
#ProbableTrumpsTweets Obama's birth certificate is fake. I know everything about birth certificates. I've got the greatest birth certificate,positive,0.25
RT  I'm going to call Trump Tower and claim to be the president of Narnia. I bet he takes the call.,neutral,0.0
Trump steps back from brink of killing North American trade pact ,neutral,0.0
RT  FOX NEWS'  updates his story that Trump's name was unmasked by senior Obama officials. ,neutral,0.0
"RT  Liberals:  *Oh No*...Trump isn't choosing the type of people Obama did. Me:  Exactly ""Preparing for President Trump""",positive,0.25
I love Donald Trump #OffendEveryoneIn4Words,positive,0.5
"Thanks for ruining Christmas, Donald Trump!         ",positive,0.25
#politics Donald Trump denies event is a fundraiser,neutral,0.0
RT  Trump Is Gaslighting The Nation — Don’t Let Him Manipulate Your Thoughts (VIDEO)  ,neutral,0.0
Fox News Poll: Voters divided over Trump in first presidential report card ,positive,0.25
RT  Trump has made a mockery of the presidency. Russia is LITERALLY being thrown in our faces &amp; the Republicans are letting him!…,neutral,0.0
"RT  Donald Trump’s slandering of Captain Humayun Khan’s family is horrifying, even for Trump ",negative,-0.9
Senate panel to vote on Trump’s Supreme Court nominee  ,neutral,0.0
President #Trump stops motorcade to wave at supporters on St Patrick's Day in West Palm Beach Florida Definitely a man for the people! ,neutral,0.0
"RT  Let's clear something up:  The gaslighting, manipulation, disinformation, etc. isn't working on anyone outside of Trump's co…",positive,0.05000000000000001
"RT  Wm F Buckley, a Eurocentrist but not re 'demagogy' in promises of 'Nice Things' like healthcare for children, stones Trump…",positive,0.6
"RT  TRUMP IOWA IOWA = See TRUMP Resume Compare with the ""WEAKNESS"" of Others. The WORLD is Watching !  https…",neutral,0.0
RT  Trump urges GOP to pass healthcare bill without offering policy specifics  ,neutral,0.0
Roberts: Trump's latest Twitter tirade is more pitiful than outrageous  ,neutral,0.0
RT  Trump Just Whined About His Hard Job. Bush’s Speechwriter’s Response Is EPIC -  Good ones!,positive,0.22777777777777777
RT  Orange Coast College Student Threatened With Expulsion After Recording Professor’s Anti-Trump Tirade ,neutral,0.0
"Clinton Leads Trump in PA., FL. in Pre-Video WSJ/NBC/Marist Poll  #politics",neutral,0.0
"RT  ""It is pitchfork and torches time in America"" #TrumpPence2016  #NeverHillary ",neutral,0.0
#politics Trump's faithful fans or voters?,neutral,0.0
"RT  Another shot of tonight's huge Trump rally in Loveland, CO.   Photo by  ",positive,0.4000000000000001
No to Trump: Philippine lawmaker seeks to ban U.S. presidential candidate  #world #news,neutral,0.0
"RT  CNN's Cuomo Grills Trump Surrogate On ""Hypocrisy"" Behind Trump's Attacks On Clintons ",negative,-0.4
"Trump renews call for Congress to focus on violent crime, MS-13  ",negative,-0.8
Trump said he would impose a 45 percent tax on Chinese goods. Then he denied it in the debate.  #politics,neutral,0.0
RT  It makes all th sense in th world-DC Globalists are in a quandary-they either take Trump out or face a long banishment. They r…,negative,-0.05
RT  angry white men are literally waving guns around talking about shooting shit up if trump doesn't win but ok ,positive,0.12000000000000002
"Trump congratulates Patriots, doesn’t mention Hernandez  ",neutral,0.0
RT  #Trump Trolling Master Class:   'Obama Was Born In The United States. Period.'   #TCOT #NeverHilla…,neutral,0.0
RT  #IStartCryingWhen You start liking someone but you see #Trump in his Twitter bio. ,neutral,0.0
RT  “How many people have destroyed an iPhone or a phone with a hammer? Anybody in the room?” ~ Donald Trump ,positive,0.5
Trump's Response Leaves Some Wondering: Is He Scared Of Upsetting White Supremacists? ,neutral,0.0
"Trump adviser: 'I would not be concerned' about a Russia back channel, irrespective of Kushner ",neutral,0.0
A confident Trump seeks knockout of Cruz in Indiana ,positive,0.5
Top Trump security adviser faces questions in rare hearing  ,positive,0.4
RT  There is plenty of blame to go around for illegal immigration.  Trump is fixing America's part.,negative,-0.5
RT  #Trump will make final decision on Paris Accord next week! World leaders have intensified pressure 2 keep the US in the…,neutral,0.0
RT  President Trump will be interviewed by NBC's Lester Holt today.,neutral,0.0
RT  WTF?! Trump Is Still Tweeting From An Unsecured Cell Phone (TWEETS)  ,negative,-0.625
RT  Protesters intend to disrupt the Trump inauguration   ,neutral,0.0
RT   I literally had to work at convincing friends in CA to vote for Trump because they new the electoral votes…,positive,0.3181818181818182
#politics Trump: Clinton Was 'Nasty Enabler' of Husband's Affairs,negative,-1.0
"RT  #HRC:...he'd rather have a puppet...  #Trump: No, you're a puppet! You're the puppet... Like a child, in front of millions.…",neutral,0.0
RT    When Candy Crowley jumped in to save Pres. Obama (at his request) Trump would have NEVER p…,neutral,0.0
"Under pressure, Trump condemns threats, attacks in joint address ",neutral,0.0
Democrats look after seeing the latest polls. #Trump2016 #TrumpPence16 ,positive,0.5
"Chef dumps planned DC restaurant in Trump hotel: Donald Trump in the news: Jose Andres, the D.C.-bas...  #politics",neutral,0.0
Trump suggests Starbucks boycott  #politics,neutral,0.0
"RT  New Bloomberg poll, all post-Comey, finds Clinton leading Trump among independents by four points ",positive,0.13636363636363635
Donald Trump said to have threatened USGA with lawsuit if it moved women's Open  ,neutral,0.0
RT  Roger Stone Breaks Down Why Hillary Is Pushing Trump Election Recount   Full...  by #RogerJStoneJr…,positive,0.0972222222222222
RT  More fallout. #TrumpTreason ,positive,0.5
"RT   Suspect he is TRUMPORKIE's eyes, ears and brains since we know T is not cooking on all burners. Keep it i…",neutral,0.0
RT  Sen. Warner is claiming Russia gamed Google's algorithm to help Trump. The exact opposite happened. Google helped Hillary…,positive,0.125
RT  The day after Trump gets elected it'll be time to take out the trash! #NeverHillary #MAGA 🚂💨💨💨🇺🇸 ,neutral,0.0
RT  Trump Tweets on &amp;#039;SNL&amp;#039; ? After Sketch About His Tweets #time ,neutral,0.0
RT  #DishonestMedia CNN Alters Trump Tweet By Scrubbing 'Crooked' Moniker to Describe Hillary #CrookedHillary  ,neutral,0.0
RT  Israeli furor b/c Netanyahu host Trump after remarks on Muslims; hypocrisy taken to a whole new level  …,positive,0.16818181818181818
"RT   ""Please make the check out to Donald J. Trump, and I'll make sure it gets to the right place.""",positive,0.39285714285714285
RT  These provocations don't cut it w/people who have Trump supporters in their family. We see this for what it is: RACISM SEXIS…,neutral,0.0
RT  Donald Trump Mistakenly Tweets to the Wrong Ivanka Even the wrong Ivanka gets more attention than Tiffany Trump.,negative,-0.16666666666666666
Donald Trump Jr. &amp; Ben Carson both confirm Obama admin stole $500 Billion to fund broken &amp; failed Obamacare from Freddie Mac and Fannie Mae. ,negative,-0.45
This Trump guy is a great businessman #TweetsFrom10YearsAgo,positive,0.8
"RT  Once again, Trump is right. ",positive,0.2857142857142857
Trump welcomes 'nice' letter from Putin after nuclear vow  ,positive,0.6
#politics Hillary Clinton Slams Trump In Front of His Casino,neutral,0.0
RT  Hillary Clinton wants to bring more Muslims to our country. Vote for Donald Trump!,positive,0.4125
RT  Whoa: L.A. Times tracking poll has Trump up by 5.9% nationally! #NeverHillary #TrumpPence2016  ,neutral,0.0
"Gitmo likely to stay open for business under Trump, say top aides ",positive,0.16666666666666666
RT  When Trump tweeted about John Lewis it didn't enter his mind it was MLK weekend. Wait till he tries to send out a happy MLK tw…,positive,0.35000000000000003
RT  Explosive. CIA finds Moscow tried to help Trump AND GOP Hill leaders opposed calling out Russia for hacking. ,neutral,0.0
RT  NYTimes Apparently Has No Code of Ethics #MAGA  #TrumpTrain #AmericaFirst #Dobbs ,positive,0.05
New Hotel Act would ban federal agencies from doing business with Trump hotels ,positive,0.13636363636363635
RT  RT - Matthew Lasner Daniel Goldstein Attacking  #maga #trump   ,neutral,0.0
Thousands of Immigrant Students Fear Future Under Trump  ,neutral,0.0
"""What's going on with Hillary Clinton – there is no justice in this country. Zero."" ~ Donald Trump  #DrainTheSwamp ",neutral,0.0
RT  #Breaking News: The Guardian Just Dropped A New Trump-Russia Bombshell That Changes Everything ,positive,0.13636363636363635
RT  Trump’s Sunday Morning Tweetstorm: Promises 35% Tax For Companies That Leave U.S.  via ,neutral,0.0
"RT   Will be watching!!  By the way, President Trump, are you sure your phones and rooms aren't bugged? Maybe SCI…",positive,0.5
President Trump Will Not Call for Special Counsel Mueller's Firing: Officials  via ,positive,0.35714285714285715
"Trump senior adviser Jared Kushner is in Iraq, official says  ",neutral,0.0
"#TrumpBecause we don't want another drunk Joe Biden, Progressive Hillary Clinton or Liberal Jeb Bush in our White House! #Trump2016",negative,-0.25
RETWEET if you support the NYPD arresting Soros-funded agitator Linda Sarsour outside Trump Tower! ,neutral,0.0
Trump criticizes border policy as well as trade agenda  #politics,neutral,0.0
Mike Leach #endorses  in #Spokane!!! Real people for #Trump2016! #AlwaysTrump ,positive,0.25
Trump didn’t expect Palin’s endorsement speech to be ‘quite that long’  #politics,negative,-0.05
RT  Ivanka Trump said there is a special place in hell for people like Roy Moore  Donald Trump just told the people of Alabama t…,positive,0.35714285714285715
Trump vows offsetting spending cuts as he seeks to beef up defense ,neutral,0.0
RT  My feed rules: Anyone commenting on Barron Trump is blocked; kids off limits. Anyone saying anything implying violence…,neutral,0.0
"RT  Trump explains his own candidacy (and its illusory appeal) in a single paragraph from ""The Art of the Deal"" ",positive,0.2642857142857143
A plan for Trump's feds in Chicago  ,neutral,0.0
RT  JUST IN: Obama slams Trump: You can't make good decisions based on fear  ,positive,0.7
"RT  ""One, everyone is completely insane, or two, it has not been a sovereign nation for a long time. "" #Trump #ErikPrince…",negative,-0.525
NBA reaches out to State Department for clarification on Trump executive order  ,neutral,0.0
"RT  Last night Trump lied about his support for Iraq war. praised Putin, excoriated US generals. Now he declares victory. He…",neutral,0.0
"In Poland, Trump reaffirms commitment to NATO, chides Russia  ",neutral,0.0
RT  I don't want Trump to apologize to Obama because then the media will fuck with Obama for a response.  Let the man be.  He pa…,negative,-0.4
RT  North Korea Missile Blown Up On Launch Pad In Humiliating Defeat For Kim Jong-Un #NorthKorea #PresidentTrump #NTEB htt…,neutral,0.0
#politics Trump: Ginsburg Should Resign,neutral,0.0
RT  Nancy Pelosi just made an awful remark about whether Trump's grand kids breath air! Disgusting. She is no better than Kathy Gr…,negative,-0.40625
"RT  Forecasts predict that Trump's Tariffs on Steel will hurt the US Oil industry, which relies heavily on steel pipelines.    W…",negative,-0.2
"RT  Sen. Mark Warner hits Trump for intel tweet, says he wishes Trump had 'more respect for intelligence professionals'. http…",positive,0.5
House intel panel to probe Trump wiretap claims  ,neutral,0.0
RT  Trump doesn't have to change any laws. He just has to convince journalists/media orgs that self-censorship is better than the…,positive,0.5
"RT  #BDS co-founder, Omar Barghouti: Israel ""drunk with power"" since Trump's election. #FreePalestine #IntelGroup ",negative,-0.5
RT     Love Trump,positive,0.5
RT  #ICelebrateTrumpWith cashing in on those bets I placed. Pay up people.,neutral,0.0
Trump Calls Out Cruz on Twitter After Attack on 'Judgment': Donald Trump turned his sights on fellow Republican presidentia...  #politics,neutral,0.0
RT  #PresentsTrumpGot A thoroughly tossed salad and reach around from the GOP,neutral,0.0
#TrumpBecause What separates the winners from the losers is how a person reacts to each new twist of fate,negative,-0.03181818181818183
"Nigel Farage: ""Trump is not a warmonger.He is genuinely worried about the threat posed by N. Korea &amp; trying to make the world a safer place"" ",positive,0.4
"RT  👍 are #Dems just now worrying about the #Deficit,now that #PresidentTrump  released his #TaxPlan?#OBAMA #…",neutral,0.0
"RT  So, #Cruz backs Bill Ayers, MoveOn, BLM and illegals over #Trump supporters. No doubt the globalist Cruz lost some followers l…",neutral,0.0
"Donald Trump's attack on John McCain overshadows immigration, foreign policy issues  #politics",negative,-0.125
RT  BREAKING: TRUMP ATTACKER and Hillary Supporter – Has HIS DEAD GRANDMA VOTING at His Reno Address 6 times by mail ,negative,-0.2
Jeb Bush attempts to explain Donald Trump's rise  #politics,neutral,0.0
"RT  racist CNN replaced african-American Trump supporter, because he put them in their place! ",neutral,0.0
"RT  George Saunders: ‘Haughty, Thin-Skinned’ Trump Is the Anti-Lincoln ",neutral,0.0
"Trump Promises ‘Problems’ for Jeff Bezos, Media If He Wins  #politics",positive,0.3
President Trump Honors Rosa Parks on 62nd Anniversary of Her Heroic Stand  via ,positive,0.7
"RT  Offering no evidence, CNN/MSNBC report Obama's denial of #wiretapping Trump Tower as fact. Meanwhile: ""A #FISA warrant pr…",neutral,0.0
Trump adviser's carbon tax talks alarm conservatives ,neutral,0.0
RT  ABC News suspends Brian Ross over 'serious error' in Trump/Flynn report via the  App ,negative,-0.3333333333333333
"Trump, China's Xi set for meeting that will focus on North Korea, trade: officials ",neutral,0.0
"RT  Join President-elect Trump on Twitter, Facebook and Instagram. We are only #8days away! #POTUS45 #MakeAmericaGreatAgain🇺🇸 h…",neutral,0.0
RT  ‘Breach of privacy’: Environmental activist to sue Trump’s golf course for ‘filming her urinating’ behind a dune ,negative,-0.4
Protesters face off in Berkeley over President Donald Trump  ,neutral,0.0
Trump pulls out of GOP debate; Sanders to meet with Obama  #politics,neutral,0.0
Lawsuit alleges Trump wanted to replace unattractive female employees  #politics ,neutral,0.0
"RT  The Crisis of Trumpism"" ",neutral,0.0
RT      👊 I'm on the #TrumpTrain too Kam!,neutral,0.0
RT  Both Women Suddenly Accusing Trump Of Sexual Assault Are Hillary Clinton Supporters And Donors  via ,positive,0.25
Trump dogged by insecurity over popular vote  ,positive,0.6
RT  Trump Makes Stunning 7-Word Statement About “Nasty” Islam… This Is Tough Even For Trump! – BB4SP ,negative,-0.3287037037037037
"RT  News of the Day from BBC's Global News Podcast, ""Rallies Around the World Against Trump"" on CastBox at ",neutral,0.0
Trump asked Comey to end investigation of Michael Flynn: source ,neutral,0.0
"RT  Thank you, Rachel Maddow/  #TrumpTaxReturns #TrumpsTaxes #MSNBC ",neutral,0.0
RT  Kaine keeps getting creepier #KaineWreck #kaineTheKlown #KaineMostAnnoyingPolitician #NeverHillary #TrumpPence16 #TrumpTrain…,neutral,0.0
"RT  Trump will pay for the Japanese PM's Mar-A-Lago stay as a ""gift,"" White House says  ",neutral,0.0
Trump team starts detailing immigration crackdown plan  ,neutral,0.0
Trump's twitter account being shut down for 11 minutes. #BestPartof2017ForMe ,negative,-0.15555555555555559
"#StrongerTogether means uniting, not #TrumpRiots.  #MakeAmericaGreatAgain",neutral,0.0
Navy Seals Show Their Love and Support For Trump With Amazing “Group Photo” #mondaymotivation ,positive,0.55
Who is   worst cabinet pick?  #UraniumOne #WhereIsJeffSessions #Trump #MAGA,negative,-1.0
RT foxandfriends: Senators learn the hard way about the fallout from turning on Trump ,negative,-0.2916666666666667
RT  What a photo of the crew from the  campaign. This squad helped change the world. #LetTrumpBeTrump ,neutral,0.0
RT  FULL Donald Trump LibTriggering Jimmy Fallon Highlights! He's Great &amp; way to Cute to Hate!!Americas New TopGun DJT🇺🇸 ht…,positive,0.4684659090909091
"Dismayed 'Values' Voters, Fearful of Clinton, Learn to Live With Trump  #politics",negative,-0.38181818181818183
Trump is sabotaging himself by attacking the media after Charlottesville ,neutral,0.0
'Did you do it?' Trump says he questioned Putin on election at meeting ,neutral,0.0
"RT  BTW, Obama relaxed policies on WIRETAPPING back in 2011.  When do you think  #NeverTrumpers will start asking que…",neutral,0.0
Not all Trump's supporters are racists. They all however agreed racism isn't a deal breaker in a president ,neutral,0.0
"RT  72 people convicted since 9/11 from Trump's list of Muslim countries:  17 entered as refugees, three as students, one…",neutral,0.0
RT  Donald Trump is going to DC to #DrainTheSwamp AND remove the #EnemiesWithin too. The White Hats have his back! ,neutral,0.0
#INeedALawyerBecause I can't stand working among Hillary and Trump supporters,neutral,0.0
Donald Trump hired actors to attend his kickoff: Donald Trump in the news: Businessman Donald Trump ...  #politics,neutral,0.0
RT  Undocumented Teach For America Members React to Trump ,neutral,0.0
"RT  ofccadjust: RT wikileaks: Trump to Merkel on Obama's wiretapping ""at least we have something in common"" … ",negative,-0.3
RT  North Korea Backs Down In Nuclear Showdown With Trump ,negative,-0.15555555555555559
"RT  Not Over Yet:  Russian Involvement Confirmed, Electoral College Should Deny Trump The Presidency  via…",positive,0.2
Artist creates #DonaldTrump pinata for angry Mexicans ,negative,-0.5
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 President Trump will make America great again! #AmericaFirst #MakeAmericaGreatAgain #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 ,positive,1.0
"RT  Trump is doing a rally at 12:30 eastern on Saturday night. Guarantee Hillary is sleeping, like during Benghazi!",neutral,0.0
The Latest: Trump campaign says rally raised $6 million  #business #news,positive,0.5
RT  Media Reporting #Trump Removed #MLK Bust Was No Innocent Mistake   Trying To Alienate Black Voters &amp; Incite Riots  ,negative,-0.20833333333333331
Libs were so excited over Flynn but in the end got another huge disappointment.. Poor Snowflakes Mike Flynn stands with Trump! #FlynnFlipped ,negative,-0.08124999999999996
RT    please when u CAN think about starting up YOU own news network (TNN) TRUMP NEWS NETWORK! 🇺🇸,positive,0.375
Pro-Cruz PAC attacks Trump over gay rights  #politics,positive,0.4166666666666667
"RT  Obama says that Trump will reverse everything he has done… I don't understand, is he campaigning for Trump? Because tha…",neutral,0.0
"RT  While I may not be able to moderate a debate, sounds like Mike Pence and Donald Trump might need to come on my show to t…",positive,0.25
"In Detroit yesterday, Donald Trump put his arm around Ben Carson as they toured Carson's childhood home. ",neutral,0.0
RT  #MyMondayDemotivation a colleague said my new Gucci bag looks like a Trump's suitcase? ,positive,0.13636363636363635
RT  Hey maybe #PresidentTrump Can you give #CrookedHillary a job? He can make her the ambassador to Libya... 😎,neutral,0.0
RT  Democrats: Communism! Republicans: Psuedo communism! Trumpkins: Facism! Libertarians: Puff puff give!  Americans: https:…,neutral,0.0
RT  Trump: 'Nobody knew that health care was so complicated' ,negative,-0.5
RT  #ICelebrateTrumpWith great words wasn't easy all the way up,positive,0.6166666666666667
"Crowd in #Nashville began to chant ""LOCK HER UP, LOCK HER UP, LOCK HER UP"" at #TrumpRally. 🤗🤗🤗 #TrumpTN",neutral,0.0
"RT  No Trump, No kkk, No fascist USA. From our #NoDAPL #WaterIsLife protest last night here in #losangeles #ResistTrump htt…",neutral,0.0
"Trump is 'dishonest,' New Hampshire publisher says  #politics",negative,-0.08181818181818182
"RT  The DNC, who paid thugs to harass &amp; attack Trump supporters plan to win them back? How? A kinder gentler group of thugs? N…",positive,0.4
"RT  💥84 year old, former Democrat, voting for Trump‼️💥  #DemocratsForTrump ",positive,0.05
"RT  YES! THIS! TRUMP KNOWS THEY WON'T FIND ANYTHING ON HIM, BUT WILL FIND STUFF ON OBAMA ",neutral,0.0
RT  BREAKING – John McCain ADMITS He Leaked Fake Trump Docs. Should He Resign? YES❗️❗️   ,negative,-0.5
