user,tweet,location,date,sentiment
Ariadne38,"RT @PrisonPlanet: What are the odds Bernie won't be asked during tonight's debate about one of his organizers calling for gulags, ""re-educa…",None,2020-01-14 15:08:30,neutral
Gina Vergel,"I srsly thought Yang was younger. Genetics &amp; good sun avoidance habits, yo.",NYC/Jersey City,2020-01-14 15:08:30,positive
Julius Ayala,"RT @nidhiprakash: SCOOP: Bernie Sanders just gained the endorsement of Nevada's largest teachers union. 

Clark County is the 5th largest s…",The 4th Ring of Hell,2020-01-14 15:08:30,neutral
vote for bernie,RT @Whatapityonyou: A Bernie volunteer just called me and asked if I was voting for warren and when I said yes they asked me if my refriger…,she/her,2020-01-14 15:08:31,neutral
DPTBW ☘️,RT @tribelaw: Bernie’s minions are good at swarming after Democrats standing in his way. I experienced it in 2016 the first time I raised m…,USA,2020-01-14 15:08:31,positive
🎄 k o b e 🎄,"RT @KyleKulinski: Politics aside I feel really bad for Bernie on a personal level. His closest ""friend"" in the senate just accused him of b…",not in FUCKING oklahoma,2020-01-14 15:08:31,negative
Peter Koltak,"RT @AlexSJacquez: bernie racking up huge endorsements from teachers, nurses, activists, and unions: https://t.co/YEJnglCdbC https://t.co/Op…",D.C. & NV,2020-01-14 15:08:31,positive
❤️Q the Quokka❤️🇦🇺🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🇺🇸⭐️⭐️⭐️,"RT @catturd2: @JamesOKeefeIII and @Project_Veritas has done it again and revealed to the world, in their own words, what Bernie Sanders and…",West Aust,2020-01-14 15:08:31,positive
😏,RT @snarkgrapefruit: I should get a cookie for not weighing in on the Bernie/warren nonsense all day.  I’ll wait for my cookie y’all.  Righ…,United States,2020-01-14 15:08:31,neutral
🇺🇸 Pismo 🇺🇸,"RT @ShawnG927: Socialists apparently come in all sizes, as that’s Danny Devito seen here with his endorsement this week of Bernie Sanders!…",United States,2020-01-14 15:08:31,positive
👈👀Defender,"Same crowd Soros funds as henchmen, like antifa &amp; anarchists.",None,2020-01-14 15:08:31,neutral
Beverly Mann,"@KristenOrthman 2/ sometimes one slightly more than the other, recently @BernieSanders slightly more than @ewarren.… https://t.co/y7qgxCAKmA",Emerald City (Not THAT one),2020-01-14 15:08:31,positive
⌛️ News You Need To Know,Voting is an I.Q. Test👇,It's not your world anymore,2020-01-14 15:08:31,neutral
an eternal sea of gloom,@BUNNlCULA the upside of 2016 going the way it did is that way more people are skeptical of attacks against bernie. it’s beautiful to see,unceded duwamish lands,2020-01-14 15:08:31,positive
acab 🌹🏳️‍🌈,RT @DavidShuster: More proof @ewarren + campaign are flailing.   The unhinged smear @BernieSanders will likely sink Warren's campaign and c…,None,2020-01-14 15:08:32,positive
Blake Linton,Isn't the Department of Homeland Security supposed to arrest terrorists plotting acts of violence like this? 🤔… https://t.co/QIZagERJXe,Houston TX USA,2020-01-14 15:08:32,negative
@Gre8Scott,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,Southern,2020-01-14 15:08:32,positive
Nice social Democrat 😷,@samhaselby I interpret it differently then Dylan idk https://t.co/xXptfV6RZn,"Florida, USA",2020-01-14 15:08:32,neutral
Eva,RT @PolitiBunny: If it ends up being Bernie versus Trump it will literally be socialism versus capitalism. #DeepThoughtsWithBunny lol,"Lodi, CA",2020-01-14 15:08:32,positive
Carmine Sabia,Bernie campaign workers calling for re education and gulags fro President Donald Trump supporters. Threaten riots a… https://t.co/ZcEBR92DHe,None,2020-01-14 15:08:32,neutral
TLS-nodak,"RT @PrisonPlanet: What are the odds Bernie won't be asked during tonight's debate about one of his organizers calling for gulags, ""re-educa…","North Dakota, USA",2020-01-14 15:08:33,neutral
Cara TXZEAL,"RT @CarpeDonktum: Why do Bernie Bros want people to be put into ""education"" camps while their cities burn? Any comment @BernieSanders?

#Ex…","Texas, USA",2020-01-14 15:08:32,neutral
hollygrace95,Is Elizabeth warren trying to smear Bernie for something that probably didn’t happen,"Brooklyn, NY",2020-01-14 15:08:33,neutral
@BettyHan922,RT @AndrewYang: Watching this Elizabeth - Bernie dynamic is upsetting. We have big problems to solve and both want to solve them. I’m sure…,"Omaha, NE",2020-01-14 15:08:33,neutral
CC,"RT @michellemalkin: Meanwhile, a Sanders field organizer threatens that ""cops are gonna be...getting f*cking beaten in Milwaukee"" at Democr…",None,2020-01-14 15:08:33,negative
C  moore,RT @myraj28: I am glad that they are admitting the violence. LE can be prepared.There should not be violence for a president who has done a…,None,2020-01-14 15:08:33,positive
Philip Nemer,"RT @littledeekay: Vince Vaughn talking to Trump doesn’t matter.

 What Bernie said to Warren one time in a private conversation hardly matt…","Oregon, USA",2020-01-14 15:08:33,negative
Joe Pryzlucki❌ - Text TRUMP to 88022,RT @kelleyjsparks: 😂🤣😂 They are now eating their own!!! This is just hilarious!! Ya Dumb FKS will have no one standing soon!! Come on!!! I…,"Connecticut, USA",2020-01-14 15:08:33,positive
chris - lefties beware ⚖️,"RT @chrislongview: ""Keep smiling, keep shining
Knowing you can always count on me, for sure. That's what friends are for. For good times an…",the toxic waste dumps of nj,2020-01-14 15:08:33,positive
Alley,"RT @catturd2: @JamesOKeefeIII and @Project_Veritas has done it again and revealed to the world, in their own words, what Bernie Sanders and…",None,2020-01-14 15:08:33,positive
Joe Glassman,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…","Virginia, USA",2020-01-14 15:08:33,negative
Street Politics With Talessia,As I stated yesterday here’s the set up for #BernieSanders to fail and #JoeBiden to get the nominee another Hillary… https://t.co/pGyxSKAACj,"Cleveland, OH",2020-01-14 15:08:33,negative
#15Justices 🍞📈,RT @SamSacks: Love to see leftists on here constantly promoting this clown https://t.co/1t0IHqyhLa,United States,2020-01-14 15:08:34,positive
COZYCATS,RT @413714: @SecretService @FBI Bernies commies #SocialismKills #WakeUpAmerica,"Queens, NY 11357",2020-01-14 15:08:34,neutral
John Galt,Fox News Talking Heads Stumping For Bernie? https://t.co/SnDXwlLpFw https://t.co/PpTTXu8WW9,RT does not related to Like ,2020-01-14 15:08:34,neutral
Shannon Needham,"RT @T_S_P_O_O_K_Y: Oh, yeah - blackface @GovernorVA wants to disarm law abiding citizens at the VERY TIME the progressive wing of his @TheD…","Oakley, CA",2020-01-14 15:08:34,positive
ElaineFox,"RT @michellemalkin: Meanwhile, a Sanders field organizer threatens that ""cops are gonna be...getting f*cking beaten in Milwaukee"" at Democr…",California,2020-01-14 15:08:34,negative
Matthew,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",Texas,2020-01-14 15:08:34,negative
CdnAngel #WWG1WGA,"RT @charliekirk11: Bernie Sanders once called for a 100% tax on anyone earning ""more money than they can spend in a lifetime""

He defined t…",None,2020-01-14 15:08:35,positive
papidou0🐝🖕☮✊🔻φ,RT @fustinette: « Bernie explose dans les sondages alors préparez-vous - nous sommes tous sur le point d'être inondés de polémiques fabriqu…,"Ardèche, Rhône-Alpes",2020-01-14 15:08:35,neutral
Fatima Italia Text to TRUMP 88022 🇺🇲🇮🇹🇮🇲,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",https://www.helpguide.org/,2020-01-14 15:08:35,negative
MAGA RN 🇺🇸💮💉👌,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,"Washington, USA",2020-01-14 15:08:35,positive
Marty,"RT @RealMattCouch: With what Project Veritas and James O'Keefe just broke on a leader of the Bernie Sanders campaign saying ""F***ing Milwau…",Florence MS,2020-01-14 15:08:35,neutral
Pby1000,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,None,2020-01-14 15:08:35,neutral
Jim,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,I am lost,2020-01-14 15:08:35,positive
Jonathan Allen,"Bernie Sanders voted for regime change in Iraq repeatedly before he voted against it. It could come up tonight.

“S… https://t.co/QbiwKzyaIg",Home of the 2019 MLB Champions,2020-01-14 15:08:35,neutral
Lionessesofsocial ⭐⭐⭐,"RT @charliekirk11: Bernie Sanders made $1,062,626 in 2016

His charitable donations that year?

$10,600—less than 1% of his income

He camp…",United States,2020-01-14 15:08:36,positive
Matthew Joseph🇺🇸🇺🇸🇺🇸,"RT @bennyjohnson: NEW @Project_Veritas Video:

Bernie Sanders Field Organizer:

If Trump gets re-elected, “f*cking cities burn”

MAGA Peopl…",None,2020-01-14 15:08:36,negative
Clay Sharps still shadow banned.....,"RT @DjLots3: Whoa!!FULL RELEASE at NOON

Bernie Sanders camp threatening violence!

""MILWAUKEE WILL BURN IF HE DOESNT GET NOMINATION""

Cant…",None,2020-01-14 15:08:36,neutral
AMERICANGIRL1🇺🇸,RT @KyleJurek: https://t.co/M5nlsw84qb,None,2020-01-14 15:08:36,neutral
Tom Gibson,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,"Michigan, USA",2020-01-14 15:08:36,neutral
Velvet’s List,"@StephenLHall @BernieSanders @SenSanders @People4Bernie You’re right. I did make an assumption here. 

Bernie the communist",None,2020-01-14 15:08:36,positive
Amastro8🇺🇸🇺🇸,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…","Richmond Hill, GA",2020-01-14 15:08:36,negative
💎Shalom Maria,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…","Granbury, TX",2020-01-14 15:08:36,positive
Covfefe Engineer,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",Texas,2020-01-14 15:08:36,negative
Matthew Pierce,"#Bernie2020 #Bernie 
100% Integrity","Los Angeles, CA",2020-01-14 15:08:36,neutral
miasmo,"RT @HumanistReport: Let's all remember to stay focused and remember that Bernie is polling in 1st place in Iowa, New Hampshire, and Califor…","Smyrna, Georgia",2020-01-14 15:08:36,positive
stephen t loftis,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,Shawnee.Ok,2020-01-14 15:08:36,neutral
Alexander Anthony,RT @suzyq228: @notcapnamerica Bernie bots or Russian Bots trying to destroy 2 D candidates the same day their hacking of Burisma for dirt o…,None,2020-01-14 15:08:37,negative
Carol Mariani,RT @NewRightNetwork: Get to expose Bernie! I still think the DNC will screw him with super delegates like last time. The whole DNC process…,"westchester county, new york",2020-01-14 15:08:37,positive
🌟🌟🌟Trump4 ALL Americans ⏳IFB,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,"TheDanCrenshawWay, QAnon",2020-01-14 15:08:37,positive
wyrocznia kaliope,"RT @HamillHimself: You misspelled ""Pocahontas"", but I'm sure you know how to spell ""racist"".
#DividerInChief",Delfy,2020-01-14 15:08:37,positive
Loper,"RT @SarahMLaird: I have an awful lot of male @ewarren supporters calling me a Bernie Bro and telling me my opinion is not valid.

When will…",None,2020-01-14 15:08:37,negative
Draining the swamp #QArmy ⭐️⭐️⭐️ nationalist ❤️,RT @VCBestor: @michellemalkin @Margare49176752 I voted for Bernie but became #Berners4Trump! #KAG https://t.co/uXNOmIwSek,None,2020-01-14 15:08:38,neutral
JoeJoeyJoJoJr.Shabadoo,RT @brianschatz: This Bernie Elizabeth thing reminds me that the Republicans are in federal court trying to take away healthcare from tens…,The Ponder-osa,2020-01-14 15:08:38,neutral
Longbranch Saloon 🇺🇸,"RT @RealMattCouch: With what Project Veritas and James O'Keefe just broke on a leader of the Bernie Sanders campaign saying ""F***ing Milwau…",None,2020-01-14 15:08:38,neutral
emmy1690 🌹🔥,RT @DavidShuster: More proof @ewarren + campaign are flailing.   The unhinged smear @BernieSanders will likely sink Warren's campaign and c…,California,2020-01-14 15:08:38,positive
MB,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",None,2020-01-14 15:08:38,negative
Our Revolution Michiana,"RT @peterdaou: OK. Let me frame it this way:

If #Warren thinks #Bernie is sexist, why not make that central to her campaign all along? Aft…",None,2020-01-14 15:08:38,positive
Boomer For Bernie 🌹,"RT @People4Bernie: ITS HAPPENING: The @cceanv is endorsing Bernie Sanders for president of the United States!

https://t.co/YbGBERbmAr?","Fort Worth, Texas, USA",2020-01-14 15:08:38,neutral
A Little Royal,RT @notcapnamerica: So the Bernie people have now gotten #RefundWarren trending — and theyre claiming ActBlue has seen a record number of r…,California,2020-01-14 15:08:38,neutral
Patrick Bruck #NotMeUs,"RT @tomaskenn: Nevada’s largest teachers union, which represents 19,000 teachers and other educators, is endorsing Bernie Sanders. Bernie i…","Maryland, USA",2020-01-14 15:08:38,negative
❌PolishLady❌,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…","Moorhead, MN",2020-01-14 15:08:39,positive
Beth Knuth***,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,None,2020-01-14 15:08:39,positive
Don't Try Civic Sparring with Me,"RT @PrisonPlanet: What are the odds Bernie won't be asked during tonight's debate about one of his organizers calling for gulags, ""re-educa…","Jerusalem, Israel ",2020-01-14 15:08:39,neutral
Barb is voting Joe Biden,"@mariaso1200 @tomwatson My goal from day 1 was no Bernie Sanders. I considered Harris, Klobuchar and Warren. Biden… https://t.co/XPPm7kP5F2","San Diego, CA",2020-01-14 15:08:39,neutral
Mack WeHaveItAll Bolan ⭐⭐⭐🇺🇸,"RT @Sun_Q_Tzu: Hard to fathom what these scumbags would do if elected to power.  If they’d burn Milwaukee of Bernie doesn’t win, what will…",USA,2020-01-14 15:08:39,positive
* A CITIZEN'S VOICE *,"RT @bennyjohnson: NEW @Project_Veritas Video:

Bernie Sanders Field Organizer:

If Trump gets re-elected, “f*cking cities burn”

MAGA Peopl…",New England,2020-01-14 15:08:39,negative
Edgeman611,"RT @AuthorCClerk: @BernieSanders BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**ki…","Redwood City, San Francisco",2020-01-14 15:08:39,negative
Greg,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,USA,2020-01-14 15:08:39,positive
Dolly Brown,RT @donnabrazile: Name any US presidential candidate or nominee who has secured more than 65 million votes? Right. Women are not only the m…,"California, USA",2020-01-14 15:08:39,positive
Celeste,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",None,2020-01-14 15:08:39,negative
Steven Wright,@CBSNews https://t.co/IngPe8e8wB,"Illinois, USA",2020-01-14 15:08:39,neutral
🇺🇸Lynn⭐️to the right🇺🇸,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",PNW,2020-01-14 15:08:39,positive
Trevor,"RT @ComradeStars: Elizabeth Warren is a compulsive liar. 

&gt; She lied about her Native American ancestry.

&gt; She lied about why she left he…",he/him,2020-01-14 15:08:39,neutral
Marginal Tax Rate 🆘🍑,https://t.co/KuDwdLmsmn,None,2020-01-14 15:08:39,neutral
Susie Crespo,Seriously? WTF?👇😳🤬,"Georgia, USA",2020-01-14 15:08:39,negative
𝕐𝕠𝕦 𝕜𝕟𝕠𝕨 𝕪𝕠𝕦 𝕒 𝕤𝕥𝕒𝕣 ⭐️✨💫,"RT @MsPackyetti: Sorry, but Bernie told me, a Black woman, that black people are disproportionately jailed because, Black people ‘deal more…","Georgia, USA",2020-01-14 15:08:39,negative
Chad🇺🇸,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,Depends,2020-01-14 15:08:40,positive
EnglishPatriot,RT @PamelaGeller: Democrats 2020: Bernie Sanders Campaign Field Organizer: “F*cking Milwaukee will burn” if Bernie doesn’t get the Democrat…,None,2020-01-14 15:08:40,negative
AndromedaTitan77🌹,"RT @StweetFreedom: @AnandWrites @ewarren @BernieSanders Yes, Warren respects Bernie so much, she's repeatedly backstabbed him &amp; now thrown…",None,2020-01-14 15:08:40,positive
𝑴𝒀𝑻𝑯 𝑶𝑭 𝑴𝑨𝑵𝑲𝑰𝑵𝑫,hikikomori leave the house to vote for Bernie,former Navy,2020-01-14 15:08:40,neutral
victor harry,"RT @CarpeDonktum: Why do Bernie Bros want people to be put into ""education"" camps while their cities burn? Any comment @BernieSanders?

#Ex…",None,2020-01-14 15:08:40,neutral
Rad123,"RT @ShawnG927: Socialists apparently come in all sizes, as that’s Danny Devito seen here with his endorsement this week of Bernie Sanders!…",None,2020-01-14 15:08:40,positive
Jenny Chen 🗽,"RT @joshuabonetpr: The Bernie cult has been attacking @ewarren for way too long. They’ve minimized her achievements, called her a copycat a…","Rhode Island, USA",2020-01-14 15:08:40,negative
Ronda Pitchford MAGA!🇺🇸🇺🇸,"RT @michellemalkin: Meanwhile, a Sanders field organizer threatens that ""cops are gonna be...getting f*cking beaten in Milwaukee"" at Democr…","New Mexico, USA",2020-01-14 15:08:40,negative
Mike Di🇺🇸🇮🇹,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…","New Jersey, USA",2020-01-14 15:08:40,negative
NinPax,"RT @JamesOKeefeIII: BREAKING: ""If Bernie doesn't get the nomination or it goes to a second round at the @DNC Convention, f**king Milwaukee…",PA,2020-01-14 15:08:40,negative
David,"RT @cenkuygur: Chris Matthews asked last night about @BernieSanders, “how big a danger would he be to the country or to the party, the Demo…","Seattle, WA",2020-01-14 15:08:40,neutral
MikeySansLOL,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,"Pennsylvania, USA",2020-01-14 15:08:40,positive
🇺🇸Truthseeker,Holy Cow!! Just one guys opinion of events but it sounds like he’s one of procrastinators!,USA  #TRUMP2020,2020-01-14 15:08:40,negative
Maria 🇺🇸 ⭐️⭐️⭐️,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,United States,2020-01-14 15:08:40,positive
Serenity Foods,"RT @PatTheBerner: #RefundWarren
Even the Bernie-hating Washington Post refutes Warren's story.

Goodbye Warren. https://t.co/A6ShB9gojL",Los Angeles,2020-01-14 15:08:40,neutral
Covfefe Engineer,"RT @bennyjohnson: Bernie Sanders Field Organizer Defends Gulags

“There’s a reason Joseph Stalin had gulags, right?”

“People were actually…",Texas,2020-01-14 15:08:40,positive
épineFran,@Cdowney1223 @DO_CONFIDENCE @tommyxtopher @SenSanders He is a chaos agent that wants others to do the work on HIS s… https://t.co/btI6o5HRD4,None,2020-01-14 15:08:40,positive
SantaMonica403 🌹🔥,@FalconYourHero @TheRevAl Curious why you believe it when it’s completely inconsistent with what Bernie has been fighting for for 40 years,"Santa Monica, CA",2020-01-14 15:08:41,neutral
🇺🇸🌻Frances🌻🇺🇸,"RT @charliekirk11: BREAKING:

Bernie Sanders campaign reveals the REAL reason for their “free college” platform—to “re-educate” Trump suppo…",None,2020-01-14 15:08:41,positive
Dᴇᴄʟᴀɴ Sᴛᴇᴄʜᴇʀ 🧢,RT @AndrewYang: Watching this Elizabeth - Bernie dynamic is upsetting. We have big problems to solve and both want to solve them. I’m sure…,None,2020-01-14 15:08:41,neutral
knReba Buckner,"This should be another eye opener, unless ppl are too dumb to get it through their noggins.","North Carolina, USA",2020-01-14 15:08:41,negative
PUPPYthedogfaceBOY,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,"GRAVEL Rd.Oregon, USA",2020-01-14 15:08:41,neutral
david w. thompson,"RT @dwthompson1945: @JamesOKeefeIII @DNC @BernieSanders Bernie's supporters are planning on his being denied the nomination, again... and n…",South Carolina,2020-01-14 15:08:41,neutral
One of Millions for Bernie,"RT @peterdaou: ON #WARREN'S LOW BLOW

Since this will come up at the #DemDebate, I want to explain her attack on #Bernie.

When CNN leaked…",MI/TN,2020-01-14 15:08:41,neutral
Deplorable Acro,RT @LisaMei62: Will there be proof of Bernie colluding with Soros &amp; Antifa to plan massive violent riots in every major city when President…,"HowWudiKnow, ItsADarkTower",2020-01-14 15:08:41,negative
GaylaN,Very important to share this and expose these people!!! 💥💥💥,None,2020-01-14 15:08:41,positive
💦 Shavontae Brown 💦,RT @JackPosobiec: Bernie Sanders organizer promises Stalin-style gulags for Trump supporter https://t.co/q4PazwKZyW,"California, USA",2020-01-14 15:08:41,neutral
American-made,RT @kelleyjsparks: 😂🤣😂 They are now eating their own!!! This is just hilarious!! Ya Dumb FKS will have no one standing soon!! Come on!!! I…,"Indiana, USA",2020-01-14 15:08:41,positive
DeplorableChefJenna,RT @DonaldJTrumpJr: The likelihood of this not being exactly accurate is 1/1024 https://t.co/5q0tfYA7S7,United States,2020-01-14 15:08:41,positive
Alley,"RT @PrisonPlanet: What are the odds Bernie won't be asked during tonight's debate about one of his organizers calling for gulags, ""re-educa…",None,2020-01-14 15:08:42,neutral
L0G0s9UY,"@Keptopolarbear @ChiimiCha @mehdirhasan Bernie has been going negative? Are you fucking kidding me?
Team Warren’s s… https://t.co/0agjyO7BWC",None,2020-01-14 15:08:42,negative
Linda Miller⭐️⭐️⭐️,RT @RealMattCouch: BREAKING: ‘If Bernie Doesn’t Get the Nomination F***ing Milwaukee Will Burn’ Sanders Field Organizer Nailed by Project V…,None,2020-01-14 15:08:42,neutral
Mike Bravo,This was Hillarys plan for us. Thats why they are still saying now they will remove Trump and then deal/remove/kill… https://t.co/UtxB83Plue,Washington DC,2020-01-14 15:08:42,neutral
Cynthia Seym ®™,"RT @T_S_P_O_O_K_Y: Oh, yeah - blackface @GovernorVA wants to disarm law abiding citizens at the VERY TIME the progressive wing of his @TheD…","North Carolina, USA",2020-01-14 15:08:42,positive
🇺🇸Gene Gerena🇺🇸🌟🌟🌟,RT @LisaMei62: Wow. Bernie will just fire these guys and say he had no idea they were talking like this.,"Nevada, USA",2020-01-14 15:08:42,positive
Conor Male 🧢,"RT @KyleKulinski: Politics aside I feel really bad for Bernie on a personal level. His closest ""friend"" in the senate just accused him of b…",None,2020-01-14 15:08:42,negative
Retired_Cop,RT @bennyjohnson: Bernie Sanders Campaign Field Organizer: “F*cking Milwaukee will burn” if Bernie doesn’t get the Democratic Nomination.…,"New York, USA",2020-01-14 15:08:42,negative
Liberty!,"😳😡😳😡

#Expose2020
#BernieSanders .@BernieSanders
 .@SenSanders",None,2020-01-14 15:08:42,neutral
Minister of enjoyment(Quest for pure Gophery),RT @pmcall: @WordswithSteph I have to admit I don't understand people who can't separate a person's political views from their job as an ac…,TimeSpace,2020-01-14 15:08:42,neutral
Dixie Lewis,RT @LisaMei62: Wow. Bernie will just fire these guys and say he had no idea they were talking like this.,Illinois,2020-01-14 15:08:43,positive
WillisDayJr_W.A.D2,RT @alivitali: JUST NOW: @ewarren told me — in response to reporting that Sanders has gone negative on her in IA — that she “was disappoint…,United States,2020-01-14 15:08:43,negative
🕊 🍃Dawn Of Dreams 🌾Andrew Yang🌲,"RT @PpollingNumbers: #New Nevada RGJ/⁦@Suffolk_U⁩ Poll

Biden 19%
Sanders 18%
Warren 11%
Buttigieg 8%
Steyer 8%
Yang 4%
Klobuchar 4%
The re…",WA 🌲⚘🐬🐳🦅🦆🦉🦋🐢🐟🌷🐝,2020-01-14 15:08:43,positive
Theseeyescry,"RT @B_lieveChildren: @ChapelCissy @BernieSanders Riiiiiiight?!?!
https://t.co/z77DL0WIAl",Sunny Florida ☀☀,2020-01-14 15:08:43,neutral
#BoycottMADDEN20,"RT @MSDNCNews: #BREAKING:

Elizabeth Warren arrested, charged with assault after stabbing Bernie  Sanders in the back “multiple times” over…",973 Paterson NJ,2020-01-14 15:08:43,negative
DrDinD im🍑 his a**,"Whatever it is domestically,  it is being amplified by trolls, some likely from Russia",Davis CA,2020-01-14 15:08:44,neutral
Andrew James,RT @JamesOKeefeIII: BREAKING: @BernieSanders “free education” policies to “teach you how to not be a f**king nazi.”; 'There is a reason Sta…,"Pittsburgh, PA  USA",2020-01-14 15:08:44,positive
Norman Firebaugh,Did he or didn't he? It’s hard to believe what Warren alleges about Bernie https://t.co/8HsocbI9MK,Kansas,2020-01-14 15:08:44,negative
