user,tweet,location,date,sentiment
BoomerForBernie2020,"RT @flogirl313: @niktaylorde @PolitiekSceptic In between jobs at sub-prime mortgage, financial crash causing Ameriquest &amp; Bain Capital- the…",None,2020-01-14 15:28:41,neutral
Unspokenbond,"RT @WillPowellArt: Warren tried to fucking raise money off these smears. What the fuck does she mean she ""doesn't want to discuss it furthe…",CA,2020-01-14 15:28:42,negative
Linda 🌹🔥🌈🤪,"RT @shaunking: This is now confirmed by The Washington Post. 

No story on this issue should be done today, or ever again, without this.

S…",Seattle,2020-01-14 15:28:42,positive
mikey 🧢,RT @TheVFCastro: Bernie and Warren’s ridiculous feud... Andrew Yang running the only bipartisan-supported progressive campaign while being…,Adrian College,2020-01-14 15:28:43,negative
"Abracadabra, Our homebuilt sailboat","RT @axiomsofdomini1: Morning Consult National
Biden: 29% (-2)
Sanders 23
Warren 14% 
Bloomberg 8% (+1)
Buttigieg 8%
Yang 5% (+1)
Steyer 4%…","Tacoma, WA",2020-01-14 15:28:43,neutral
Sam,RT @BernieeSanderrs: I was a feminist back when Warren was a Republican.,The Hangar - Sherwood Forest,2020-01-14 15:28:43,neutral
charderair,RT @AidenWolfe: The only goddamn thing I want to see in tonight’s debate is Bernie &amp; Warren setting aside all pride and defusing the growin…,"New York, NY",2020-01-14 15:28:44,neutral
kobalt,RT @RealMattCouch: WOW: Warren Says She’s Willing To Ban Construction of New Homes in America (VIDEO) https://t.co/2zgIrUZ7Cy,None,2020-01-14 15:28:44,positive
Laurel M. Davila,RT @AuthorKimberley: Russians are attacking the US to once again sway the 2020 election. Warren and Sanders are viable candidates and Russi…,"Tustin and Irvine, California",2020-01-14 15:28:44,neutral
debra dosch,RT @MissILmom: And Now it Begins...Crazy VS Crazier! Turning on Their own. Eating each other Alive! Sit back...Get your Popcorn...Feet up..…,"Manhattan, NY",2020-01-14 15:28:44,positive
Aysha Moolla,RT @MikePrysner: Lots of ppl saying the “Sanders-Warren feud” only helps Biden. This is true. The Bernie campaign had been zeroing in on Bi…,None,2020-01-14 15:28:45,positive
💲ºµℹ︎ª,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…",Thuis,2020-01-14 15:28:45,positive
NJEstates8 REALTOR,"67 MOUNTAIN BLVD. Warren, NJ, 07059 $900
Fully Furnished Private Office Suite and Dedicated Workstations for added… https://t.co/fbPMbFvZvn","Warren Township, NJ",2020-01-14 15:28:45,neutral
Honey+Money,RT @BernForBernie20: #MorningJoe panelists slam Elizabeth Warren for diverting from important issues by dragging up an alleged comment from…,None,2020-01-14 15:28:45,positive
Loren DeJonge Schulman,RT @JarrettBlanc: Another great piece on ⁦@ewarren⁩’s foreign policy: “Though Warren consults with a team of outside advisers chock full of…,"Washington, DC",2020-01-14 15:28:45,positive
#ITrustBernie,"RT @Politics_Polls: National @MorningConsult/@politico Poll

Trust more to handle...

Health Care:
Sanders 29
Biden 21
Warren 14
Bloomberg…","Glen Cove, NY",2020-01-14 15:28:45,positive
Dorothy Chapman ⏳,"RT @aaronjmate: ""I have no interest in discussing this private meeting any further"" after my campaign leaked it to the public and I then vo…","Southern California, USA",2020-01-14 15:28:45,neutral
Papa Georgio,"RT @LATiffani1: Elizabeth Warren: Transgender ‘Women’ Should Be Incarcerated in Female Prisons

Hey ya pandering shitwit, that won’t take c…","Pennsylvania, USA",2020-01-14 15:28:46,neutral
Geoff,RT @seanmdav: Elizabeth Warren: Let's Put Men In Women's Prisons https://t.co/u6YAO9sLLM,Russia,2020-01-14 15:28:46,neutral
Freedom,"RT @jtLOL: Also, the guy she wants to replace shouldn't do stuff without Congress",None,2020-01-14 15:28:46,positive
Tracy Wise,"RT @GEEdotMichelle: ""...her latest proposal says that she doesn’t have time to wait for Congress to act and that she will wipe out up to $5…",California,2020-01-14 15:28:46,positive
Thea the Tankie ☭,RT @SandleDavid: Who initiated this current strategy for Warren ???,"Helsinki, Finland",2020-01-14 15:28:46,neutral
Barmak Nassirian,RT @nataliaabrams: 👏👏👏 https://t.co/zsQo2UBeqF,"Washington, DC",2020-01-14 15:28:47,neutral
BmoreDeplorable,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…","Baltimore, MD",2020-01-14 15:28:47,positive
creston quin,RT @krystalball: Sanders appears to have gained almost all of Kamala's former supporters in California.,None,2020-01-14 15:28:47,neutral
BernieOrBust,"RT @ThomasIsOnline: Warren should drop out

This was my first thought the moment I read the paragraph below https://t.co/h2j3Kgw1hI ""Warren…",your backyard,2020-01-14 15:28:47,positive
Fishbones,"Bernie on the debate stage tonight: ""What is this Liz about me suddenly being sexist? Didn't I urge you to run in 2… https://t.co/AxtnEVIHxV","Boston, MA",2020-01-14 15:28:48,neutral
Alex 🌹🌒🌕🌘🎃💀👽🧙🏽‍♀️🧛🏽‍♀️🧟‍♀️,"Elizabeth Warren needs to step up squash this damn lie. 👇🏾 #RefundWarren 

https://t.co/drp9vOLbiN",None,2020-01-14 15:28:49,neutral
beth ann mcdowell 🔮 littlefoot,In 1987 Bernie was saying women should have an equal shot at being president before Warren made up her mind that sh… https://t.co/JVg1WEDX69,Jade Chart,2020-01-14 15:28:49,neutral
Charlotte Clymer🏳️‍🌈,"I appreciate your kind words, Leia! I just want to be abundantly clear that I am not advocating for any particular… https://t.co/1Xqm6iIRQ6","Washington, D.C.",2020-01-14 15:28:49,positive
Lila F.,@KenCoop80 @micahuetricht @FletcherDSA Warren literally promising Dem party power brokers behind closed doors that… https://t.co/MMEieO1eZn,United States,2020-01-14 15:28:51,negative
Barbara E Munson,"RT @nick_w_estes: Elizabeth Warren spent most of her adult life falsely claiming to be someone she’s not — specifically, Cherokee. JS.","Moon, Wisconsin",2020-01-14 15:28:51,positive
Corey A. DeAngelis,"RT @DeAngelisCorey: 67% of tonight's #DemDebate participants attended private schools or sent their own kids to private schools.

Why don't…","Washington, DC",2020-01-14 15:28:51,positive
keyvan shafiei 🇮🇷🌹,"Before and after that 2018 private meeting Warren was still going around claiming she’s Native American. 

Is anyon… https://t.co/jAC9pp77uG",DC,2020-01-14 15:28:51,neutral
The Left Independent,RT @allahliker: i remain 100% convinced that warren loved to tell an embellished version of her bernie dinner just like she loved talkin ab…,USA,2020-01-14 15:28:52,positive
BadBadDeanGirl,"RT @RBReich: While the press feasts off a tiny ""he-said, she-said"" tiff between Warren and Sanders, Trump is

Cutting 700,000 off food stam…","Cuba, Missouri, USA",2020-01-14 15:28:52,negative
kevin,"RT @zei_squirrel: oh and also they're lying

https://t.co/a1ZXwVAZGe",Terra Firma.,2020-01-14 15:28:52,neutral
Katya Kazakina,"The Whitney “had very weak leaders . . . who quite frankly did not want to engage and always felt it would go away,… https://t.co/kKzPfYVNNA",new york,2020-01-14 15:28:52,negative
Truth Teller,This is Bernie Sanders’ campaign. America needs to wake up! His cronies will attack anyone and do anything. Dissing… https://t.co/73ljCrWXqe,None,2020-01-14 15:28:52,neutral
Tim Pierce,@GaylenOraylee @JackieFrac @MsPackyetti You need to read some critiques from actual Native Americans to understand… https://t.co/WGwku9yneV,"Berlin, MA",2020-01-14 15:28:53,neutral
Jade Rhino 👉 Trump Is Guilty 👈,It really is remarkable how in all of the media coverage about the Warren/Sanders private meeting - only Zerina Max… https://t.co/N9jQWCeAxA,"Arizona, USA",2020-01-14 15:28:53,positive
#NotMeUs,RT @johniadarola: The mainstream media outlets DESPERATE to see Sanders and Warren tear each other to shreds care more about ratings than t…,None,2020-01-14 15:28:53,negative
vanessa steck,"RT @LuxAlptraum: This may just be indicative of my bubble but I've seen very little ""OMG SANDERS IS A HORRIBLE SEXIST"" from Warren supporte…","Boston, MA",2020-01-14 15:28:53,negative
Rudy,"RT @WalshFreedom: Congress? What Congress? Who needs Congress?

Trump says he’ll build a wall without Congress, and his peeps applaud. Warr…",United States,2020-01-14 15:28:53,neutral
Aaron Apollo Camp,"RT @TheStagmania: “The importance of a grass-roots movement is there is one thing that beats fake news, and that’s somebody you know. It’s…","Westville, IL",2020-01-14 15:28:53,negative
New Orleans for Bernie ⚜,"Lol but Bernie IS the only candidate running on #MedicareForAll, but not weak sauce public option. 

We also suprem… https://t.co/JmynpP9mhz","New Orleans, Louisiana ",2020-01-14 15:28:54,positive
"Naan Derthaal, DO, FAAOS",@j_thePA I have no doubt. Many unfortunately don’t. I overheard a conversation on the subway yesterday of two peopl… https://t.co/54ZFs70l42,Coastal America,2020-01-14 15:28:54,neutral
Tawni,"RT @d_mccarthy37: @AnandWrites @ewarren @BernieSanders Shaun King: can't trust anonymous sources

Also Shaun King: anonymous sources tell m…",None,2020-01-14 15:28:54,neutral
"Gen JC Christian, Patriot, Expertise Expert","RT @bourgeoisalien: Let's be clear: I halted my distrust of Warren from 2016 not backing Bernie, staying silent on Standing Rock (while Liz…","Evanston, WY",2020-01-14 15:28:55,positive
Dan Wells,"RT @pam_sands: Well, they’re starting to eat their own! 🤣 Now who do we believe, Lieawatha, or Scamming Bernie? That’s a tough one! You dec…",NORTH AMERICA and World ,2020-01-14 15:28:55,positive
Berning2020,"“Bernie is surging and may have found his moment.” 

Stay positive, all! #Bernie2020 
https://t.co/xLsIVlvJkK","Massachusetts, USA",2020-01-14 15:28:56,positive
Say No to Warmongers,"RT @SamSeder: In the wake of HRC’s loss and within the last year, I have had multiple exchanges with women - avowed or would-be Warren supp…",None,2020-01-14 15:28:57,neutral
#15Justices 🍞📈,"much like the GE in Britain, it might not make a difference in the end. but I’m holding onto these little moments,… https://t.co/zh3TnXxWCn",United States,2020-01-14 15:28:57,positive
mj,RT @DavKat43: #BidenHarrisLivablePlanet2020 https://t.co/qMCBdvn8nK,Left-of-center,2020-01-14 15:28:58,neutral
DONNA AMERICAN FIRST .🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,"RT @Bruno062418: Trouble BREWing in Milwaukee?

#POTUSKNOWS
#comms
#winning https://t.co/00lv4H9v9E",USA. ,2020-01-14 15:28:58,positive
Tsachy Mishal,@chiwizardry @followtheh Warren was above 50% even as she was trailing in the polls to Biden,None,2020-01-14 15:28:58,neutral
These are the times....🇺🇸,"RT @ScottAdamsSays: Given recent events, which nickname do you prefer for Senator Warren?","Commonwealth of KY, NWF, TX...",2020-01-14 15:28:58,neutral
MagillaMom #StillSanders #IAmTooFarLeft,#RefundWarren #ITrustBernie #DemocraticDebate #TongueOutTuesday #TuesdayMorning #MorningJoe,"Georgia, USA",2020-01-14 15:28:59,neutral
cindi,RT @johniadarola: The mainstream media outlets DESPERATE to see Sanders and Warren tear each other to shreds care more about ratings than t…,On the porch,2020-01-14 15:28:59,negative
💙💚CHANTAL🧠💭,RT @tchnoir: Bernie bumping into Warren at the debate tonight. #ITrustBernie #RefundWarren https://t.co/CGWESxgEAe,Florida c/o Jamaica,2020-01-14 15:28:59,neutral
Justice Is A RareEquation🆘,"RT @HKrassenstein: If Bernie is the nominee, I’ll vote for him.  If Warren is the nominee, I’ll vote for her.  

Stop the fighting within t…","Tennessee, USA",2020-01-14 15:28:59,neutral
Kathie Stevenson 🌺,"RT @MSNBC: .@MTPFirstRead: After Sanders-Warren dust-up, Democrats need to talk about why they lost in 2016. 
https://t.co/oMAIOkHPlZ",Denver NC,2020-01-14 15:28:59,neutral
livin' the dream... sort of 🙄,"RT @mmpadellan: The ONLY thing being accomplished by the ugly mud-slinging between the Sanders and Warren camps today, and every damn day,…",California,2020-01-14 15:28:59,negative
Lisa Wells,RT @KevinMKruse: Terrific piece by @DLeonhardt: https://t.co/iWwTUraboX,"Texas, USA",2020-01-14 15:28:59,neutral
Eric Reif,"RT @cmhayden10: AP:  Warren vows to cancel college debt without awaiting Congress

#Warren2020 

https://t.co/MiBixjFSQt","Boston, MA",2020-01-14 15:29:00,neutral
Robert J. Pechacek,"RT @BethLynch2020: Warren has for years shown the Left that she's untrustworthy. Today is nothing new. 

Now let's get that bitch Biden.",Belvidere Ill.,2020-01-14 15:29:00,positive
Steve Prometheus Puma Evans 🦅🔥#CaptainAmerica,RT @lakesideliberal: Priorities. Emphasis.,None,2020-01-14 15:29:00,neutral
Sarah 🌹🐦❤️,"RT @PatTheBerner: #RefundWarren
Act Blue is literally at max capacity from people asking for refunds of their Warren donations...on the eve…",United States,2020-01-14 15:29:00,neutral
Cajun Rogue🌊🌊🌊⚜️⚜️⚜️#ElectWomen,"RT @DrDinD: Whatever it is domestically,  it is being amplified by trolls, some likely from Russia","Nashville, TN",2020-01-14 15:29:01,neutral
FireBrand,"RT @KatzOnEarth: The most shocking thing, to me, about the Sanders/Warren story is that Donald Trump laundered money from the Islamic Revol…",Clockwork City,2020-01-14 15:28:58,negative
ZPal,"RT @DFBHarvard: What's the problem? Although Cory (I'm Black) Booker has dropped out of the Democrat Presidential race, they still have Eli…","North Carolina, USA",2020-01-14 15:29:01,negative
Papa Georgio,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…","Pennsylvania, USA",2020-01-14 15:29:01,positive
Waking Up Early To Game,thank you elizabeth warren for starting the national conversation about not always believing women,kicking in your dads dry wall,2020-01-14 15:29:01,neutral
Trevor,"RT @aaronjmate: ""I have no interest in discussing this private meeting any further"" after my campaign leaked it to the public and I then vo…",he/him,2020-01-14 15:29:01,neutral
Michael Greer,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…",California,2020-01-14 15:29:01,positive
Homey D. Clown,"RT @charliekirk11: In 2016, when 6 Republicans were left 50% were minorities:

Trump
Cruz
Rubio
Carson
Kasich
&amp; Jeb!

Today, 6 Democrats ar…",None,2020-01-14 15:29:02,neutral
MagillaMom #StillSanders #IAmTooFarLeft,"RT @lnteGritty: So, Warren lied.
The press lied.
And now, Warren admits she baited Sanders, he didn’t take the bait, but she went on and sa…","Georgia, USA",2020-01-14 15:29:02,neutral
DartsRSS,Wayne Warren: “Ik heb nog helemaal geen geld ontvangen” https://t.co/1xIyh8RRPw,Tweets in Dutch and English,2020-01-14 15:29:02,neutral
elizabeth damron,"RT @RBReich: While the press feasts off a tiny ""he-said, she-said"" tiff between Warren and Sanders, Trump is

Cutting 700,000 off food stam…","Ohio, USA",2020-01-14 15:29:02,negative
❊kelsey dake 𝖗𝖚𝖘𝖍𝖎𝖓𝖌 ❊,RT @travishelwig: Bernie and Warren are the two most progressive presidential candidates in a generation. Remind yourself of this before we…,"Phoenix, AZ",2020-01-14 15:29:02,positive
Thomas V. Bona,@mdbergman36 Sanders' plan as I understand it is to do it through reconciliation. I find that much less likely to h… https://t.co/b88npqGVaC,"Goshen, IN",2020-01-14 15:29:03,negative
Curry Kid,RT @Christarchist: I was surprised how many people who call themselves progressive had no problem with Warren after the 2016 election. Hope…,In your ear,2020-01-14 15:29:03,positive
Dan Blackard,"RT @ScottPresler: Right now, #RefundWarren is trending because Elizabeth Warren 

confirmed that Bernie Sanders said he didn’t think a woma…",None,2020-01-14 15:29:03,positive
rosebern,"@HCTrudo @BernieSanders @ewarren The script uses the words ""fights for"" no ""support"" and there can be absolutely NO… https://t.co/xoZf0rHSZd",None,2020-01-14 15:29:03,positive
🎃it’s actually christmas time now 🧟‍♂️,"As long as we're all speculating, I agree with the assessment that Warren probably exaggerated the story about Bern… https://t.co/P50XuxLjtU",Philly,2020-01-14 15:29:03,negative
Kylie,"RT @shaunking: @BernieSanders BREAKING: The @WashingtonPost confirms my source that Elizabeth Warren lied about Bernie. 

""One of the peopl…",Nowhere,2020-01-14 15:29:04,neutral
TRUMP BEST PRESIDENT EVER !!!,"RT @RubyRockstar333: Duhhhhh 
Lefties who’ve ignored Elizabeth Warren’s lies for YEARS suddenly figure out she’s a liar
#RefundWarren trend…",United States,2020-01-14 15:29:04,neutral
Derek Bryant,"RT @TonyKaron: That's still in the cable TV gameshow mode... Why not simply ask Bernie to comment on whether a woman can be elected, and ge…","Thornton in Bradforddale, UK ",2020-01-14 15:29:05,neutral
WhenIsIt2Late,RT @katalin_pota: Elizabeth Warren's Fake Beef With Bernie Sanders Is a Sign the Primaries Are Heating Up | Teen Vogue https://t.co/c3qMWLW…,None,2020-01-14 15:29:05,negative
A.J.,@PaulSorrentino3 @Scepticdust Elizabeth Warren peaks with a forked tongue.,None,2020-01-14 15:29:05,neutral
Sheriff DJTrump Says,Who cares? They all suck...😂,District of Columbia-New York,2020-01-14 15:29:05,neutral
mags#NoMoreWar#Iamthe99%,@aishaismad I will never trust her and I have a feeling she will back out of this mess slowly because she never sti… https://t.co/pAjYM0Fcs7,"Florida, USA",2020-01-14 15:29:05,negative
Travis Mannon,RT @chasestrangio: It seems just as likely to me that another campaign would leak this to make Warren look bad. Presidential politics is a…,"Brooklyn, NY",2020-01-14 15:29:06,negative
Coupon Padawan 🐼,RT @SocialistBoomer: Everyone on the left who retained any trust in Liz Warren before today #RefundWarren  https://t.co/4gjx122QZX,None,2020-01-14 15:29:06,neutral
michelle,"RT @Politics_Polls: Super Tuesday States @MorningConsult Poll (1/6-12):
Biden 28%
Sanders 23%
Warren 15%
Bloomberg 9%
Buttigieg 7%
Yang 5%…","Kentucky, USA",2020-01-14 15:29:06,positive
Moe Reala 🧚🏻‍♀️,this bernie/warren stuff is upsetting 😔,UNCG: Political Science&AADS,2020-01-14 15:29:06,neutral
Joan Mason,"RT @RBReich: While the press feasts off a tiny ""he-said, she-said"" tiff between Warren and Sanders, Trump is

Cutting 700,000 off food stam…",san diego,2020-01-14 15:29:06,negative
MidAtlantic Woman,RT @truthsearch1957: @Roe50 @Becca2631 @HarryMi47749146 @RosaleeAdams @RobertMabr @atlantis000000 @timetoact2 @davidf4444 @jay6018 @ICanPla…,"DE, DC, MD, VA",2020-01-14 15:29:07,neutral
He'snotmytype2020🆘,"RT @KatzOnEarth: The most shocking thing, to me, about the Sanders/Warren story is that Donald Trump laundered money from the Islamic Revol…",Ohio,2020-01-14 15:29:07,negative
대한민국,RT @realDonaldTrump: Bernie Sander’s volunteers are trashing Elizabeth “Pocahontus” Warren. Everybody knows her campaign is dead and want h…,대한민국 서울,2020-01-14 15:29:09,negative
Rowen,"RT @MrJones_tm: Cory Booker on Sanders and Warren: ""Nobody should be attacking their character"" 😂

Ok...🤔

Pocahontas is a lifelong fraud &amp;…",USA,2020-01-14 15:29:09,negative
Socialist on Main Capitalism is Eugenics.,"RT @bourgeoisalien: So what if Liz Warren turned on Bernie and showed her true colors.

Bernie doesn't need allies on debate stage tonight,…",Civility only aids gatekeepers,2020-01-14 15:29:09,positive
Seth Petarra,"RT @yesthatCarlo: Just to be extremely clear....Elizabeth Warren and her campaign lied. 

#RefundWarren https://t.co/WDZRlUJf9U","Charlotte, NC",2020-01-14 15:29:09,negative
Lightskin NDN,"RT @LammaticHama: If you're a Warren Stan Natives get to slap you in the face when you reveal yourself in public.

Because that's how we fe…",stolen land,2020-01-14 15:29:09,neutral
Recite Social,@kristenorthman your Tweet was quoted in an article by @DailyCaller  https://t.co/qfmXu1RMo2,None,2020-01-14 15:29:09,neutral
Sarah,"RT @SilERabbit: #RefundWarren
Elizabeth Warren's plan to get attention is going exceedingly well. No one will forget the first negative don…",None,2020-01-14 15:29:09,negative
🌹Mia Nathalie 🇩🇴,@JordanChariton @ewarren @BernieSanders @CNN She should’ve done the last thing and left 1&amp;2 out. It would have work… https://t.co/rJSx6Pq8JS,"New York, NY",2020-01-14 15:29:10,neutral
Ms. Hoover·ville,https://t.co/GInTO8AQPZ,"Los Angeles, CA",2020-01-14 15:29:10,neutral
John Nicklay,"RT @Warriors4USA: ""Trump makes all these candidates look like... runner-ups at 'The Bachelor,' right? They seem so much smaller,"" Gutfeld s…","Michigan, USA",2020-01-14 15:29:10,positive
Still Berning,"RT @anastweetstrash: #ITrustBernie because as soon as Warren saw her friend take the lead, she turned “I have a plan” into “I have a smear.…","Los Angeles, CA",2020-01-14 15:29:11,neutral
🌹MoChuisle♎️,RT @TALCvids: From Tyler Warren’s IG stories . Also on the move. 🇺🇸 ➡️🇰🇷 https://t.co/HZ4KQrIqFt,None,2020-01-14 15:29:12,neutral
The Angriest Angel 🆘,"RT @FlyThaiMMA: @peterdaou Elizabeth Warren's only goal this entire campaign was to sink Bernie Sanders 

Its time progressives come to ter…","Midwest, Hell",2020-01-14 15:29:12,neutral
NickiⓋNoman🌹,"RT @leeladaou: Sexism is erasing the diverse women in #Bernie's movement by dismissing them as ""bros.""

Sexism is NOT taking offense when h…",🌱 I follow back 💯 Berners 🔥,2020-01-14 15:29:12,neutral
MagillaMom #StillSanders #IAmTooFarLeft,"RT @WalkerBragman: Case-in-point: #RefundWarren and #ITrustBernie are the two most trending hashtags right now. 

Can’t help but feel Warre…","Georgia, USA",2020-01-14 15:29:13,positive
Thea the Tankie ☭,"RT @GabrielMcArthur: Warren insinuates in very little detail that Bernie's sexist

Donut Twitter: What a monster! I knew it!

@TulsiGabbard…","Helsinki, Finland",2020-01-14 15:29:13,negative
crazycatlady,"RT @CarpeDonktum: @ScottAdamsSays Gotta go with the classic, it drives the media insane.

They would love to attack Trump for being ""racist…","Swedesboro, NJ",2020-01-14 15:29:13,negative
michelle,"RT @TexasBluein20: As of March 2019, there is a total of $1.6 trillion in federal and private student loan debt that borrowers owe. More th…","Kentucky, USA",2020-01-14 15:29:13,positive
Dawn KK,"@MKGenest Warren, but blue no matter what.","Oregon, USA",2020-01-14 15:29:13,neutral
Elizabeth Humphrey,"RT @washingtonpost: Analysis: The Warren vs. Sanders clash, explained by numbers https://t.co/pho6Vt5C4x",Sullivan,2020-01-14 15:29:14,neutral
Eric Matheny🎙,RT @MissILmom: And Now it Begins...Crazy VS Crazier! Turning on Their own. Eating each other Alive! Sit back...Get your Popcorn...Feet up..…,"Broward County, Florida",2020-01-14 15:29:15,positive
Sheryl Ring 🌹🌈⚾️ ✡️💄⚖️,"RT @LouisatheLast: My personal take on both the campaign script and the sexist comment blowup, as a Warren supporter with Sanders as my sec…",Close the concentration camps ,2020-01-14 15:29:15,neutral
Betweendalines 🌹🌻⚒⏳Restore @Unity4J,RT @SamAdlerBell: Lightly sourced and denied by Sanders. The liberal media desperately wants these candidates and their campaigns to fight…,CT,2020-01-14 15:29:15,positive
SoCal for Warren 📢,RT @CharlotteAlter: Something I've noticed going into the debate- even though Warren has tried harder than any candidate to avoid spats wit…,"California, USA",2020-01-14 15:29:15,negative
Sara,RT @niktaylorde: Why You Shouldn't Support Elizabeth Warren For The Upcoming 2020 Election: a thread https://t.co/DfHjbtakqi,"Washington, DC",2020-01-14 15:29:16,neutral
cymbalta cloud,"RT @katewillett: I care about sexism very much and: 

1. Sanders asked Warren to run in '16
2. He's been saying since at least '88 that a w…",🌧rainy day🌧,2020-01-14 15:29:16,negative
